,code,name,year,unit,sector,source,subsource,gas,value
0,,World,1990,MtCO2eq,Agriculture,AgSoils,,N2O,1529.6609709890233
1,,World,1990,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2141.813339432394
2,,World,1990,MtCO2eq,Agriculture,Livestock,Manure,CH4,249.3725308291615
3,,World,1990,MtCO2eq,Agriculture,Livestock,Manure,N2O,202.1364549427168
4,,World,1990,MtCO2eq,Agriculture,OtherAg,,CH4,23.646668310279924
5,,World,1990,MtCO2eq,Agriculture,OtherAg,,N2O,11.975901402555916
6,,World,1990,MtCO2eq,Agriculture,Rice,,CH4,600.9634457530574
7,,World,1990,MtCO2eq,Energy,Coal,Surface,CH4,35.869301057476186
8,,World,1990,MtCO2eq,Energy,Coal,Under,CH4,591.5386030995998
9,,World,1990,MtCO2eq,Energy,Combustion,Biomass,CH4,195.5675236953681
10,,World,1990,MtCO2eq,Energy,Combustion,Biomass,N2O,46.164548014394065
11,,World,1990,MtCO2eq,Energy,Combustion,StatMob,CH4,171.85653029030976
12,,World,1990,MtCO2eq,Energy,Combustion,StatMob,N2O,180.9370021807731
13,,World,1990,MtCO2eq,Energy,NGO,Gas Product,CH4,271.5343138528727
14,,World,1990,MtCO2eq,Energy,NGO,Gas TSD,CH4,176.6481654199603
15,,World,1990,MtCO2eq,Energy,NGO,Oil Product,CH4,998.060538838467
16,,World,1990,MtCO2eq,Energy,NGO,Oil Refining,CH4,2.4547639100947407
17,,World,1990,MtCO2eq,Energy,OtherEnergy,,CH4,10.442588827046922
18,,World,1990,MtCO2eq,Energy,OtherEnergy,,N2O,2.7442037867242925
19,,World,1990,MtCO2eq,Industrial Processes,EPS,,SF6,46.830778648341266
20,,World,1990,MtCO2eq,Industrial Processes,Electronics,FPD,HFCs,0.0002551723126732
21,,World,1990,MtCO2eq,Industrial Processes,Electronics,FPD,NF3,0.006363187001396891
22,,World,1990,MtCO2eq,Industrial Processes,Electronics,FPD,PFCs,0.032279314444660846
23,,World,1990,MtCO2eq,Industrial Processes,Electronics,FPD,SF6,0.13256661677966242
24,,World,1990,MtCO2eq,Industrial Processes,Electronics,PV,NF3,0.0
25,,World,1990,MtCO2eq,Industrial Processes,Electronics,PV,PFCs,0.001619131185
26,,World,1990,MtCO2eq,Industrial Processes,Electronics,Semi,HFCs,0.48403012003754875
27,,World,1990,MtCO2eq,Industrial Processes,Electronics,Semi,NF3,0.23475547101307873
28,,World,1990,MtCO2eq,Industrial Processes,Electronics,Semi,PFCs,5.823170274613106
29,,World,1990,MtCO2eq,Industrial Processes,Electronics,Semi,SF6,1.5002854578825724
30,,World,1990,MtCO2eq,Industrial Processes,HCFC22,,HFCs,135.90936830666573
31,,World,1990,MtCO2eq,Industrial Processes,Metals,Aluminum,PFCs,96.67363611383082
32,,World,1990,MtCO2eq,Industrial Processes,Metals,Magnesium,SF6,14.570513033274871
33,,World,1990,MtCO2eq,Industrial Processes,NitricAdipic,Adipic,N2O,98.03257047524022
34,,World,1990,MtCO2eq,Industrial Processes,NitricAdipic,Nitric,N2O,92.24131171614266
35,,World,1990,MtCO2eq,Industrial Processes,ODSSubs,Aerosols,HFCs,0.0005104142365951007
36,,World,1990,MtCO2eq,Industrial Processes,ODSSubs,Fire Ext,HFCs,4.827883090490742e-05
37,,World,1990,MtCO2eq,Industrial Processes,ODSSubs,Foams,HFCs,0.00032986448702827933
38,,World,1990,MtCO2eq,Industrial Processes,ODSSubs,RefAC,HFCs,0.008470898100498992
39,,World,1990,MtCO2eq,Industrial Processes,ODSSubs,Solvents,HFCs,0.0001358899919841846
40,,World,1990,MtCO2eq,Industrial Processes,OtherIPPU,,CH4,5.287983087366376
41,,World,1990,MtCO2eq,Industrial Processes,OtherIPPU,,N2O,11.364364748008324
42,,World,1990,MtCO2eq,Waste,Landfills,Industrial,CH4,161.50153416519217
43,,World,1990,MtCO2eq,Waste,Landfills,MSW,CH4,606.6341072799028
44,,World,1990,MtCO2eq,Waste,OtherWaste,,CH4,14.67280102479734
45,,World,1990,MtCO2eq,Waste,OtherWaste,,N2O,2.57174
46,,World,1990,MtCO2eq,Waste,Wastewater,Rural,CH4,281.1873682434391
47,,World,1990,MtCO2eq,Waste,Wastewater,Rural,N2O,38.852687143037215
48,,World,1990,MtCO2eq,Waste,Wastewater,Urban,CH4,223.08943016459173
49,,World,1990,MtCO2eq,Waste,Wastewater,Urban,N2O,35.8942061339258
50,,World,1991,MtCO2eq,Agriculture,AgSoils,,N2O,1530.0155658182682
