,code,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,,World,energy,MtCO2eq,16120.82487,16840.2049,17770.991,17722.36848,17767.90611,18761.57977,19357.30508,19859.89054,20444.40212,20156.00734,19747.39183,19591.19131,19669.03514,20331.48521,20649.17476,21030.49744,21699.95891,22432.62898,22884.89357,23241.50052,23362.5753,23262.43524,23392.65793,23498.68405,24147.61959,24652.75074,25071.88758,25254.35728,25386.26632,26207.40711,26568.99883,26890.15485,28097.32683,29381.76598,30462.57133,31391.23631,32495.91016,32754.80249,32267.31079,34187.13161,35147.95694,35556.98681,36178.55674,36273.15373,36167.30411,36182.45296,36771.19471,37596.7866,37629.66929,
181,,World,total_fuel_combustion,MtCO2eq,14284.28849,14967.53648,15815.82696,15786.66436,15852.70518,16687.24512,17250.80014,17760.74386,18286.99491,18108.29945,17879.2727,17692.71034,17806.19496,18401.99096,18681.81598,19016.036,19654.96321,20318.01131,20697.29353,20988.10311,21115.6608,21054.69429,21175.77725,21271.55485,21856.83611,22303.89288,22711.30994,22886.01922,23025.29552,23743.13052,24090.85197,24433.60897,25477.74805,26666.23845,27630.76328,28509.38234,29562.60108,29784.7617,29347.22135,31152.11079,32034.06832,32384.93321,33000.3451,33060.84648,32962.67823,32986.78825,33534.77751,34248.77321,34233.90078,
364,,World,coal,MtCO2eq,5297.244895,5372.974981,5573.858828,5603.169177,5717.346241,5947.15289,6134.494746,6294.89383,6571.403412,6677.3751,6736.521192,6770.250278,6945.375492,7258.438386,7485.267768,7562.725509,7880.097823,8143.497123,8237.632029,8385.853874,8338.051491,8214.936041,8234.96799,8244.208265,8588.050884,8653.988519,8701.418542,8708.818461,8533.105366,9003.488949,9242.248826,9433.941038,10160.31255,10826.92463,11535.49774,12181.81536,12867.42502,13022.08621,13018.83659,13927.13588,14685.68211,14817.32613,15167.45917,15193.04848,14718.63114,14474.8005,14717.95606,15082.57611,14891.53866,
547,,World,oil,MtCO2eq,6764.66737,7258.563584,7823.021307,7705.750431,7689.601665,8169.091201,8481.520895,8748.724492,8848.452508,8507.991343,8181.374654,7950.988211,7857.610047,7929.565038,7891.358735,8101.901167,8242.083275,8496.651856,8600.257033,8637.094377,8674.183895,8731.824335,8760.322599,8817.186148,8938.459381,9154.328014,9440.949747,9549.454939,9705.276769,9795.144636,9844.603858,9825.00004,9964.474701,10346.62913,10482.39312,10553.63434,10709.27389,10612.47118,10326.12187,10712.80611,10732.5203,10828.83455,11000.55002,11038.23571,11311.18755,11379.85044,11523.13017,11540.00924,11541.86996,
730,,World,gas,MtCO2eq,2048.463652,2158.087347,2237.853518,2290.357773,2253.834552,2375.721994,2435.872663,2514.961971,2660.999699,2712.856004,2748.268338,2753.342072,2781.410576,2986.652456,3073.900611,3115.391885,3292.671458,3432.576093,3606.927742,3676.121952,3798.447403,3781.491089,3849.862282,3874.050684,3984.780972,4153.023066,4217.737146,4275.921549,4422.073585,4567.322173,4628.942507,4789.888339,4969.345221,5104.151562,5223.08143,5370.843409,5582.730841,5739.747805,5580.971395,6057.464234,6146.725564,6263.048097,6349.277867,6342.486626,6447.273823,6625.56966,6775.13957,7098.052606,7267.203157,
913,,World,marine_bunkers,MtCO2eq,354.0490186,370.5888037,391.5413835,365.8961762,341.2127,351.851792,351.6580902,353.7938286,364.5550653,356.973902,331.8471616,299.0233684,279.9521293,283.7214165,306.2667819,325.590341,322.119184,337.6499087,337.4523668,370.9937676,385.7450473,414.4063705,401.6475295,414.3017115,427.5375907,437.5935573,448.3629849,461.9317223,489.1869273,502.1308119,476.4400245,494.635876,502.35,551.9781317,571.6361705,608.958072,645.3054986,646.6868449,614.876374,661.801826,662.4634633,616.3653305,614.8859112,635.5683726,659.8416472,678.2022564,701.8738746,700.4282654,684.8432725,0.0
1094,,World,int_aviation_bunkers,MtCO2eq,169.3009942,179.1474853,186.8920944,179.7933359,173.8660214,174.273795,190.0689778,197.2226277,203.9751251,202.8078882,202.067992,209.3484659,211.1874475,219.1253934,225.1561656,247.3909511,261.5637428,276.3667137,290.2966512,258.9937823,251.9009038,260.0678602,265.0220866,278.5835692,289.1034272,300.8476604,315.6076997,326.243076,340.1420859,352.6288305,346.1281012,366.7032435,364.6701452,393.9046449,418.8387873,434.1486503,448.0634921,455.899981,434.2054856,458.2050421,472.1124072,472.7211159,480.9091246,496.6276977,524.6540321,548.2077819,582.2304892,609.6304688,617.76324,0.0
1275,,World,fugitive,MtCO2eq,1836.536378,1872.66842,1955.16404,1935.70412,1915.2009329999998,2074.334648,2106.50494,2099.1466830000004,2157.40721,2047.707893,1868.119133,1898.48097,1862.84018,1929.4942549999998,1967.35878,2014.4614450000001,2044.9956980000002,2114.617668,2187.600038,2253.39741,2246.914503,2207.7409500000003,2216.880688,2227.129195,2290.78348,2348.857853,2360.577648,2368.33806,2360.9707999999996,2464.276588,2478.146863,2456.5458799999997,2619.578773,2715.5275380000003,2831.808048,2881.853973,2933.30908,2970.04079,2920.0894399999997,3035.020818,3113.88862,3172.0535980000004,3178.21164,3212.307248,3204.62588,3195.66471,3236.4172000000003,3348.0133849999997,3395.76851,3201.134588
