,code,name,fuel,unit,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,,World,Total CO2 emissions,MtCO2,2206.690829,2382.046176,2526.687327,2473.373964,2536.892888,2422.25256,2684.786146,2777.042758,2756.562392,2703.188545,2807.171174,2914.008533,2942.790633,3064.923181,3184.516899,3316.753148,3461.741169,3654.178703,3749.381715,3964.523069,4134.686706,4261.307787,4311.927159,4532.007774,4721.984594,4561.227063,4426.421477,4694.157203,4835.524743,4883.910187,4946.62713,18671.57067,18291.35714,18248.61018,18440.53558,20078.68513,20490.52215,21026.87198,21701.29434,22417.89683,22750.99085,22801.03697,22704.60519,22529.42426,22641.47337,22884.63576,23417.98212,23911.83372,24046.67911,24086.63144,24451.99434,25195.88641,25374.03956,25949.29685,27126.83546,28588.07414,29700.05607,30649.83604,31143.79747,31814.50961,31612.74431,33652.59248,34786.40415,35607.55121,36013.90151,36046.19373,35855.85504,35278.50226,36072.33479,36903.36994,
1,,World,Coal and coke,MtCO2,1117.538985,1151.600346,1166.858975,1052.386511,1057.069608,904.191799,1037.883229,1054.597765,1003.746034,887.188523,885.131027,915.20039,895.367315,922.086003,968.730285,1018.939941,1075.146471,1127.040292,1106.890376,1145.758543,1148.256664,1134.441275,1076.124032,1121.253602,1206.273733,1185.238653,1180.732528,1265.646355,1299.544892,1298.097603,1409.790188,7455.939754,7481.990871,7620.273119,7830.239066,8182.673072,8474.479247,8574.200099,8912.348096,9183.392764,9190.366517,9108.884389,8824.803528,8587.186368,8579.332703,8619.82713,8870.658427,9067.008973,8925.526733,8871.275494,8915.260862,9381.855518,9481.375461,9729.017336,10536.03973,11439.94535,12210.23205,12884.62467,13522.22815,13766.57573,13886.7772,15035.60179,15850.88801,16325.70577,16505.52204,16392.74665,15844.41612,14956.56225,15365.38607,15783.05918,15953.29648
2,,World,Consumed natural gas,MtCO2,269.537229,312.826758,369.725933,396.144693,414.852766,437.259069,472.164274,504.395476,534.718185,559.789329,615.214424,650.165364,678.658772,721.046984,756.340573,802.669334,827.517342,891.737381,941.907241,1008.297454,1085.46723,1144.349535,1179.62356,1191.847277,1176.064903,1135.378681,1043.574103,1063.895862,1042.126381,1046.300303,1081.593377,2843.422967,2844.933454,2855.959215,2914.40167,3215.457101,3350.468514,3396.006676,3572.62342,3754.10847,3926.395273,3973.011194,4057.22363,4076.853622,4182.316749,4175.657735,4297.782978,4396.582072,4422.86252,4458.3605,4572.524794,4736.287095,4755.92897,4974.516835,5120.218738,5279.887636,5430.142928,5631.279411,5811.819204,5978.854008,5782.239388,6323.923968,6512.988366,6662.05692,6760.0943,6785.637172,6887.367588,7027.731893,7259.328867,7626.683356,
3,,World,Petroleum and other liquids,MtCO2,819.614615,917.619072,990.102419,1024.84276,1064.970514,1080.801692,1174.738643,1218.049517,1218.098173,1256.210693,1306.825723,1348.642779,1368.764546,1421.790194,1459.446041,1495.143873,1559.077356,1635.40103,1700.584098,1810.467072,1900.962812,1982.516977,2056.179567,2218.906895,2339.645958,2240.609729,2202.114846,2364.614986,2493.85347,2539.512281,2455.243565,8372.207951,7964.43282,7772.377847,7695.894847,8680.55496,8665.574386,9056.665205,9216.322821,9480.395601,9634.229056,9719.141388,9822.578035,9865.384274,9879.82392,10089.1509,10249.54071,10448.24268,10698.28986,10756.99545,10964.20868,11077.74379,11136.73512,11245.76268,11470.57699,11868.24115,12059.68109,12133.93196,11809.75012,12069.07988,11943.72772,12293.06672,12422.52777,12619.78852,12748.28517,12867.8099,13124.07133,13294.20811,13447.61986,13493.6274,
