,code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
8810,WORLD,,CAIT,Transportation ,All GHG,4609.038,4648.548,4753.485,4794.314,4891.396,5024.902,5232.369,5309.684,5431.291,5592.427,5770.248,5800.87,5951.035,6076.412,6358.368,6498.615,6649.626,6856.172,6862.597,6724.097,7011.928,7126.575,7182.122,7373.416,7498.339,7717.007,7878.141,8078.45,8257.734
8811,WORLD,,CAIT,Building,All GHG,2596.847,2622.041,2514.515,2574.501,2492.94,2566.843,2637.748,2615.1,2463.086,2533.909,2525.957,2550.892,2550.126,2633.927,2676.425,2676.09,2642.408,2639.528,2704.71,2653.967,2707.438,2654.662,2599.003,2712.167,2660.702,2689.697,2737.474,2796.014,2882.535
8812,WORLD,,CAIT,Other Fuel Combustion ,All GHG,1353.121604,1362.826534,1274.104178,1293.128223,1262.920865,1214.255593,1154.62866,1203.740028,1180.796305,1191.822516,1129.158382,1150.840676,1156.848685,1184.764094,1224.787019,1243.769292,1261.321908,1274.022614,1289.813112,1282.788023,1312.836908,1317.60647,1363.567483,1406.72012,1424.60519,1444.081166,1437.09225,1443.419081,1452.021913
8813,WORLD,,CAIT,Fugitive Emissions ,All GHG,2253.384584,2261.857636,2165.357712,2129.688727,2063.050913,2073.696449,2106.335939,2091.648118,2076.100601,2089.094742,2134.245277,2179.354138,2228.843687,2319.225581,2393.242,2481.799433,2567.020398,2639.989561,2746.402945,2739.146102,2793.839326,2830.660753,2853.290784,2860.381271,2877.38002,2883.814956,2889.306667,2879.965911,2883.391101
8814,WORLD,,CAIT,Total excluding LUCF,CO2,21181.43511,21387.9156,21319.81094,21455.52344,21591.77679,22215.87978,22694.41451,23082.11818,23240.47473,23398.98682,24131.97456,24497.97605,24884.3325,25977.07299,27221.96712,28263.97109,29210.713,30338.28172,30595.26016,30205.26267,32052.56488,33025.34134,33408.94932,34023.03093,34098.75488,34038.48821,34081.00261,34542.43913,35248.7416
8815,WORLD,,CAIT,Total including LUCF,CO2,22849.91664,23056.39714,22988.29248,23124.00498,23260.28651,23890.22353,24214.91562,25292.91554,24895.31936,24957.30053,25637.87484,25726.41872,26486.6342,27308.37134,28826.47663,29663.75472,30905.9279,31608.2833,31856.76395,31769.89341,33328.37591,33226.00772,33620.34387,34217.17717,34558.59352,34521.90874,35160.5972,35588.69668,36441.5517
8816,WORLD,,CAIT,Energy ,CO2,20680.13511,20873.6156,20783.81194,20899.32144,20999.67779,21589.47978,22054.71651,22423.31918,22584.67573,22714.08682,23415.67556,23749.57705,24093.7315,25126.37199,26314.56812,27304.97109,28164.713,29217.28072,29458.26016,29033.26167,30803.56588,31685.34134,32037.95132,32601.02993,32627.75488,32608.48721,32620.00261,33070.44013,33746.7416
8817,WORLD,,CAIT,Industrial Processes ,CO2,501.3,514.3,536.0,556.2,592.1,626.4,639.7,658.8,655.8,684.9,716.3,748.4,790.6,850.7,907.4,959.0,1046.0,1121.0,1137.0,1172.0,1249.0,1340.0,1371.0,1422.0,1471.0,1430.0,1461.0,1472.0,1502.0
8818,WORLD,,CAIT,Land-Use Change and Forestry ,CO2,1668.481538,1668.481538,1668.481538,1668.481538,1668.50971,1674.343755,1520.501109,2210.797356,1654.844626,1558.313714,1505.900285,1228.442667,1602.301705,1331.298346,1604.509517,1399.783635,1695.214907,1270.001583,1261.503793,1564.630745,1275.811026,200.6663768,211.3945489,194.1462434,459.8386451,483.4205326,1079.594586,1046.257552,1192.8101
8819,WORLD,,CAIT,Bunker Fuels ,CO2,630.857,638.251,675.218,667.467,693.78,717.668,739.583,765.1,789.128,830.319,855.083,822.917,861.967,867.409,946.151,990.798,1043.569,1092.575,1101.742,1048.498,1119.387,1134.555,1088.428,1095.067,1132.174,1184.424,1225.101,1280.815,1311.599
8820,WORLD,,CAIT,Electricity/Heat ,CO2,8596.172,8735.043,8894.595,8945.797,9042.501,9231.222,9586.386,9853.193,10080.658,10134.657,10552.873,10813.149,10999.869,11617.707,12001.487,12373.248,12861.965,13427.329,13457.771,13257.85,14151.168,14755.364,15059.186,15320.553,15232.517,15009.825,14949.514,15167.355,15590.954
8821,WORLD,,CAIT,Manufacturing/Construction ,CO2,3955.39,3875.911,3743.481,3694.796,3711.413,3937.6,3827.314,3852.359,3854.055,3694.742,3874.93,3897.346,3896.221,4083.28,4515.135,4927.557,5176.286,5450.176,5563.144,5547.256,6087.715,6313.538,6332.91,6324.162,6360.382,6315.813,6188.614,6174.411,6158.316
8822,WORLD,,CAIT,Transportation ,CO2,4609.038,4648.548,4753.485,4794.314,4891.396,5024.902,5232.369,5309.684,5431.291,5592.427,5770.248,5800.87,5951.035,6076.412,6358.368,6498.615,6649.626,6856.172,6862.597,6724.097,7011.928,7126.575,7182.122,7373.416,7498.339,7717.007,7878.141,8078.45,8257.734
8823,WORLD,,CAIT,Building,CO2,2596.847,2622.041,2514.515,2574.501,2492.94,2566.843,2637.748,2615.1,2463.086,2533.909,2525.957,2550.892,2550.126,2633.927,2676.425,2676.09,2642.408,2639.528,2704.71,2653.967,2707.438,2654.662,2599.003,2712.167,2660.702,2689.697,2737.474,2796.014,2882.535
8824,WORLD,,CAIT,Other Fuel Combustion ,CO2,758.596,758.936,674.745,689.057,660.321,611.933,540.736,588.429,565.31,576.112,517.208,529.179,529.574,548.244,582.034,602.482,612.007,616.092,621.146,608.884,624.115,609.331,632.74,640.362,636.633,633.195,620.944,621.191,623.714
8825,WORLD,,CAIT,Fugitive Emissions ,CO2,164.0921052,233.1365991,202.9909449,200.8564428,201.1067949,216.9797752,230.163511,204.5541837,190.2757333,182.2398207,174.45956,158.1410534,166.9065001,166.8019903,181.1191162,226.9790855,222.4209972,227.9837178,248.8921584,241.20767,221.2018823,225.8713445,231.9903227,230.3699253,239.1818771,242.9502075,245.315609,233.0191325,233.4886015
8826,WORLD,,CAIT,Total excluding LUCF,CH4,6912.019765,6888.275095,6823.435094,6802.004697,6776.218563,6785.808411,6803.119133,6761.606476,6769.809848,6819.361915,6869.452392,6920.915918,6979.893736,7069.452751,7174.563591,7232.13024,7365.420868,7478.647287,7590.497124,7595.356475,7708.428164,7810.920332,7873.933928,7884.503712,7961.995732,8025.757866,8073.271633,8142.303085,8178.918665
8827,WORLD,,CAIT,Total including LUCF,CH4,7072.525718,7048.781048,6983.941046,6962.510649,6936.724516,6946.314363,6944.081038,7166.146952,7043.088419,7016.094058,6990.500011,6978.290918,7164.499689,7192.587275,7384.468353,7373.140954,7590.387535,7582.119906,7677.214981,7772.887427,7816.376974,7934.653665,8006.937499,8001.458474,8161.133827,8240.679294,8172.0133,8228.637609,8298.269855
8828,WORLD,,CAIT,Energy ,CH4,2453.972329,2399.178576,2326.222747,2293.913407,2222.130351,2213.036185,2239.687233,2250.216456,2248.514324,2271.906987,2317.151656,2388.706706,2435.064976,2532.704006,2597.704912,2638.576669,2734.537918,2808.930482,2903.043256,2909.873038,2993.467683,3042.025597,3079.393191,3117.597632,3144.291209,3165.608003,3173.184205,3180.478758,3187.773312
8829,WORLD,,CAIT,Industrial Processes ,CH4,5.287983087,4.942819791,4.913915992,4.743315445,5.390250852,5.36985195,5.393335029,5.754781924,5.795028365,6.165304609,9.067211194,8.91260353,8.988329799,9.198679623,9.23370334,9.111868663,9.206085154,9.498815414,9.156595444,8.642093622,8.92787619,8.927999898,8.922859411,8.940345959,9.092964821,9.083346803,9.19364499,9.19364499,9.19364499
8830,WORLD,,CAIT,Agriculture ,CH4,3165.674213,3166.075163,3150.669288,3135.474093,3159.425588,3176.039345,3168.326743,3123.42742,3145.25603,3176.492483,3180.293595,3176.64035,3197.013948,3195.724238,3250.070465,3278.769738,3307.556165,3340.737448,3356.322945,3349.85192,3370.998495,3424.50439,3442.593488,3409.149503,3431.118335,3445.75875,3469.851113,3509.86776,3517.468535
8831,WORLD,,CAIT,Waste ,CH4,1287.085241,1318.078537,1341.629143,1367.873882,1389.272374,1391.363029,1389.711823,1382.207818,1370.244466,1364.79714,1362.93993,1346.656258,1338.826483,1331.825828,1317.554511,1305.671964,1314.1207,1319.480542,1321.974328,1326.989423,1335.03411,1335.462345,1343.024391,1348.816232,1377.493222,1405.307765,1421.042671,1442.762922,1464.483173
8832,WORLD,,CAIT,Land-Use Change and Forestry ,CH4,160.5059524,160.5059524,160.5059524,160.5059524,160.5059524,160.5059524,140.9619048,404.5404762,273.2785714,196.7321429,121.047619,57.375,184.6059524,123.1345238,209.9047619,141.0107143,224.9666667,103.472619,86.71785714,177.5309524,107.9488095,123.7333333,133.0035714,116.9547619,199.1380952,214.9214286,98.74166667,86.33452381,119.3511905
8833,WORLD,,CAIT,Other Fuel Combustion ,CH4,367.424054,373.2949589,366.8343486,368.0060035,363.2745538,359.5812443,366.8733146,366.514041,366.0998577,368.6568431,364.3477007,374.4482899,379.9101237,387.05153,392.3840292,390.6047165,396.6409992,403.5883834,412.0570952,418.3454233,427.2692139,443.6508839,464.5171934,494.0210382,512.4069666,531.1423283,535.6259085,539.9647418,544.303575
8834,WORLD,,CAIT,Fugitive Emissions ,CH4,2086.548275,2025.883617,1959.388399,1925.907404,1858.855797,1853.454941,1872.813918,1883.702415,1882.414466,1903.250144,1952.803955,2014.258416,2055.154852,2145.652476,2205.320883,2247.971953,2337.896919,2405.342099,2490.986161,2491.527615,2566.198469,2598.374713,2614.875997,2623.576594,2631.884243,2634.465675,2637.558296,2640.514017,2643.469737
8835,WORLD,,CAIT,Total excluding LUCF,N2O,2340.955566,2330.475536,2323.212238,2309.124301,2402.217242,2457.262775,2500.956362,2471.217245,2482.81948,2483.954328,2491.622471,2503.078262,2543.071663,2548.211646,2619.448038,2630.677199,2663.182843,2714.594833,2700.643559,2697.699669,2745.09298,2838.147762,2851.025353,2842.394229,2886.027719,2909.126231,2938.471244,2990.809804,2988.344496
8836,WORLD,,CAIT,Total including LUCF,N2O,2421.25503,2410.775,2403.511703,2389.423765,2482.516706,2537.562239,2550.861749,2537.210787,2565.844203,2548.758754,2535.631303,2555.479158,2609.27765,2639.32755,2714.349503,2721.224018,2748.132069,2812.771414,2785.352463,2780.66383,2851.539541,2918.427039,2939.266037,2919.555081,2964.994835,2997.24387,3027.742432,3078.271843,3063.748109
8837,WORLD,,CAIT,Energy ,N2O,229.845754,233.4329951,235.5031982,238.9901003,242.4136327,246.0030817,250.3778554,252.1885064,252.796849,250.6584494,254.5844431,254.1680543,254.1468953,256.2396794,257.1709901,257.53097,259.3763901,261.0059756,263.1346425,261.9694163,267.8916691,271.0392816,272.7347534,278.7718333,281.8791235,286.1429119,286.9551033,288.6961015,290.4370998
8838,WORLD,,CAIT,Industrial Processes ,N2O,201.6382469,197.5582132,194.9130106,192.9407447,256.1918579,263.9737059,272.9606797,263.5783377,236.9448623,211.2941985,219.386253,214.2643293,212.742557,217.7920345,226.3322722,227.3024,226.1681722,221.9129564,208.7839904,202.9964493,202.8720924,210.2706739,209.425298,216.2865452,228.7528495,238.900394,244.2824483,249.8164475,255.3504467
8839,WORLD,,CAIT,Agriculture ,N2O,1832.152932,1822.387054,1816.14604,1800.678678,1821.924946,1862.137572,1889.018394,1863.296941,1897.038349,1922.3294,1913.829457,1928.396472,1967.040605,1962.349787,2021.618828,2028.859394,2057.910609,2109.291829,2103.773942,2105.437765,2144.229528,2224.992951,2235.26069,2212.112408,2238.628806,2245.801874,2267.426214,2311.204977,2300.179871
8840,WORLD,,CAIT,Waste ,N2O,77.31863328,77.09727307,76.64998896,76.51477754,81.6868052,85.14841473,88.59943301,92.15345949,96.03941972,99.67228018,103.822318,106.2494063,109.1416057,111.8301453,114.3259476,116.9844345,119.7276713,122.384072,124.9509846,127.2960383,130.0996908,131.8448547,133.6046112,135.2234427,136.76694,138.2810506,139.8074784,141.0922782,142.377078
8841,WORLD,,CAIT,Land-Use Change and Forestry ,N2O,80.29946452,80.29946452,80.29946452,80.29946452,80.29946452,80.29946452,49.9053871,65.99354194,83.02472258,64.80442581,44.00883226,52.40089677,66.2059871,91.11590323,94.90146452,90.54681935,84.94922581,98.17658065,84.70890323,82.96416129,106.4465613,80.27927742,88.24068387,77.16085161,78.96711613,88.11763871,89.2711871,87.46203871,75.4036129
8842,WORLD,,CAIT,Other Fuel Combustion ,N2O,227.1015502,230.5955754,232.5248298,236.0652197,239.3253115,242.7413485,247.0193457,248.7969868,249.3864475,247.0536724,247.6026809,247.2133859,247.3645608,249.4685643,250.3689894,250.6825753,252.6739083,254.3422308,256.6100168,255.5585997,261.4526942,264.6245859,266.3102892,272.3370816,275.5652232,279.7438382,280.522341,282.2633393,284.0043376
8843,WORLD,,CAIT,Fugitive Emissions ,N2O,2.744203787,2.837419767,2.978368329,2.924880567,3.088321208,3.26173328,3.358509775,3.391519586,3.410401471,3.604776988,6.981762203,6.95466844,6.782334516,6.771115137,6.802000713,6.848394707,6.70248174,6.663744862,6.524625722,6.41081668,6.438974899,6.414695743,6.424464225,6.434751784,6.313900337,6.399073746,6.432762223,6.432762223,6.432762223
8844,WORLD,,CAIT,Total excluding LUCF,F-Gas,302.2091162,297.509491,294.5721959,290.5527471,297.9393307,329.3567021,359.0548368,391.6142629,424.9384374,426.7838475,443.7204331,441.5811351,467.4275307,477.7247678,511.84317,541.9109614,587.2032148,641.453106,684.6357869,705.5675292,762.2830663,812.3082707,861.0580571,908.9345407,962.5702237,1000.635376,1053.601949,1094.868206,1136.137009
8845,WORLD,,CAIT,Total including LUCF,F-Gas,302.2091162,297.509491,294.5721959,290.5527471,297.9393307,329.3567021,359.0548368,391.6142629,424.9384374,426.7838475,443.7204331,441.5811351,467.4275307,477.7247678,511.84317,541.9109614,587.2032148,641.453106,684.6357869,705.5675292,762.2830663,812.3082707,861.0580571,908.9345407,962.5702237,1000.635376,1053.601949,1094.868206,1136.137009
8846,WORLD,,CAIT,Industrial Processes ,F-Gas,302.2091162,297.509491,294.5721959,290.5527471,297.9393307,329.3567021,359.0548368,391.6142629,424.9384374,426.7838475,443.7204331,441.5811351,467.4275307,477.7247678,511.84317,541.9109614,587.2032148,641.453106,684.6357869,705.5675292,762.2830663,812.3082707,861.0580571,908.9345407,962.5702237,1000.635376,1053.601949,1094.868206,1136.137009
