,code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
8800,WORLD,,CAIT,Total excluding LUCF,All GHG,30736.61955,30904.17572,30761.03047,30857.20519,31068.15193,31788.30766,32357.54484,32706.55617,32918.0425,33129.08691,33936.76986,34363.55137,34874.72543,36072.46216,37527.82192,38668.68949,39826.51992,41172.97694,41571.03663,41203.88634,43268.36909,44486.71771,44994.96666,45658.86341,45909.34855,45974.00768,46146.34744,46770.42023,47552.14177
8801,WORLD,,CAIT,Total including LUCF,All GHG,32645.90651,32813.46268,32670.31743,32766.49214,32977.46706,33703.45683,34068.91324,35387.88754,34929.19042,34948.93719,35607.72659,35701.76993,36727.83907,37618.01093,39437.13766,40300.03065,41831.65072,42644.62773,43003.96718,43029.0122,44758.57549,44891.3967,45427.60547,46047.12526,46647.29241,46760.46728,47413.95488,47990.47434,48939.70667
8802,WORLD,,CAIT,Energy ,All GHG,23363.95319,23506.22717,23345.53689,23432.22695,23464.22078,24048.51904,24544.7796,24925.72315,25085.98591,25236.65226,25987.41066,26392.45081,26782.94437,27915.31668,29169.44302,30201.07872,31158.62731,32287.21818,32624.43806,32205.10512,34064.92423,34998.40622,35390.07727,35997.40039,36053.92521,36060.23912,36080.14192,36539.61399,37224.95201
8803,WORLD,,CAIT,Industrial Processes ,All GHG,1010.435346,1014.310524,1030.399122,1044.436807,1151.621439,1225.10026,1277.108851,1319.747382,1323.478328,1329.143351,1388.473897,1413.158068,1479.758417,1555.415482,1654.809145,1737.32523,1868.577472,1993.864878,2039.576373,2089.206072,2223.083035,2371.506944,2450.406215,2556.161432,2671.416038,2678.619117,2768.078043,2825.878299,2902.681101
8804,WORLD,,CAIT,Agriculture ,All GHG,4997.827144,4988.462217,4966.815328,4936.152771,4981.350533,5038.176917,5057.345137,4986.724361,5042.294379,5098.821883,5094.123052,5105.036822,5164.054553,5158.074025,5271.689293,5307.629132,5365.466774,5450.029277,5460.096887,5455.289685,5515.228023,5649.497341,5677.854178,5621.261911,5669.747141,5691.560624,5737.277327,5821.072737,5817.648406
8805,WORLD,,CAIT,Waste ,All GHG,1364.403874,1395.17581,1418.279132,1444.388659,1470.959179,1476.511444,1478.311256,1474.361277,1466.283885,1464.469421,1466.762248,1452.905665,1447.968089,1443.655974,1431.880458,1422.656399,1433.848371,1441.864614,1446.925313,1454.285461,1465.133801,1467.3072,1476.629002,1484.039674,1514.260162,1543.588816,1560.85015,1583.8552,1606.860251
8806,WORLD,,CAIT,Land-Use Change and Forestry ,All GHG,1909.286955,1909.286955,1909.286955,1909.286955,1909.315127,1915.149172,1711.368401,2681.331374,2011.14792,1819.850283,1670.956736,1338.218563,1853.113644,1545.548773,1909.315744,1631.341169,2005.1308,1471.650783,1432.930553,1825.125858,1490.206397,404.6789876,432.6388042,388.2618569,737.9438565,786.4595999,1267.60744,1220.054115,1387.564904
8807,WORLD,,CAIT,Bunker Fuels ,All GHG,630.857,638.251,675.218,667.467,693.78,717.668,739.583,765.1,789.128,830.319,855.083,822.917,861.967,867.409,946.151,990.798,1043.569,1092.575,1101.742,1048.498,1119.387,1134.555,1088.428,1095.067,1132.174,1184.424,1225.101,1280.815,1311.599
8808,WORLD,,CAIT,Electricity/Heat ,All GHG,8596.172,8735.043,8894.595,8945.797,9042.501,9231.222,9586.386,9853.193,10080.658,10134.657,10552.873,10813.149,10999.869,11617.707,12001.487,12373.248,12861.965,13427.329,13457.771,13257.85,14151.168,14755.364,15059.186,15320.553,15232.517,15009.825,14949.514,15167.355,15590.954
8809,WORLD,,CAIT,Manufacturing/Construction ,All GHG,3955.39,3875.911,3743.481,3694.796,3711.413,3937.6,3827.314,3852.359,3854.055,3694.742,3874.93,3897.346,3896.221,4083.28,4515.135,4927.557,5176.286,5450.176,5563.144,5547.256,6087.715,6313.538,6332.91,6324.162,6360.382,6315.813,6188.614,6174.411,6158.316
