,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
0,1751,MtCO2,9.357333333333331,9.357333333333331,0.0,0.0,0.0,0.0,0.0,0.0
1,1752,MtCO2,9.361,9.361,0.0,0.0,0.0,0.0,0.0,0.0
2,1753,MtCO2,9.361,9.361,0.0,0.0,0.0,0.0,0.0,0.0
3,1754,MtCO2,9.364666666666666,9.364666666666666,0.0,0.0,0.0,0.0,0.0,0.0
4,1755,MtCO2,9.368333333333332,9.368333333333332,0.0,0.0,0.0,0.0,0.0,0.0
5,1756,MtCO2,10.013666666666666,10.013666666666666,0.0,0.0,0.0,0.0,0.0,0.0
6,1757,MtCO2,10.017333333333331,10.017333333333331,0.0,0.0,0.0,0.0,0.0,0.0
7,1758,MtCO2,10.021,10.021,0.0,0.0,0.0,0.0,0.0,0.0
8,1759,MtCO2,10.024666666666667,10.024666666666667,0.0,0.0,0.0,0.0,0.0,0.0
9,1760,MtCO2,10.024666666666667,10.024666666666667,0.0,0.0,0.0,0.0,0.0,0.0
10,1761,MtCO2,10.981666666666666,10.981666666666666,0.0,0.0,0.0,0.0,0.0,0.0
11,1762,MtCO2,10.985333333333331,10.985333333333331,0.0,0.0,0.0,0.0,0.0,0.0
12,1763,MtCO2,10.989,10.989,0.0,0.0,0.0,0.0,0.0,0.0
13,1764,MtCO2,10.992666666666667,10.992666666666667,0.0,0.0,0.0,0.0,0.0,0.0
14,1765,MtCO2,10.996333333333332,10.996333333333332,0.0,0.0,0.0,0.0,0.0,0.0
15,1766,MtCO2,12.268666666666666,12.268666666666666,0.0,0.0,0.0,0.0,0.0,0.0
16,1767,MtCO2,12.272333333333332,12.272333333333332,0.0,0.0,0.0,0.0,0.0,0.0
17,1768,MtCO2,12.276,12.276,0.0,0.0,0.0,0.0,0.0,0.0
18,1769,MtCO2,12.279666666666666,12.279666666666666,0.0,0.0,0.0,0.0,0.0,0.0
19,1770,MtCO2,12.283333333333331,12.283333333333331,0.0,0.0,0.0,0.0,0.0,0.0
20,1771,MtCO2,13.621666666666666,13.621666666666666,0.0,0.0,0.0,0.0,0.0,0.0
21,1772,MtCO2,13.625333333333332,13.625333333333332,0.0,0.0,0.0,0.0,0.0,0.0
22,1773,MtCO2,13.629,13.629,0.0,0.0,0.0,0.0,0.0,0.0
23,1774,MtCO2,13.632666666666665,13.632666666666665,0.0,0.0,0.0,0.0,0.0,0.0
24,1775,MtCO2,13.636333333333333,13.636333333333333,0.0,0.0,0.0,0.0,0.0,0.0
25,1776,MtCO2,15.048,15.048,0.0,0.0,0.0,0.0,0.0,0.0
26,1777,MtCO2,15.051666666666666,15.051666666666666,0.0,0.0,0.0,0.0,0.0,0.0
27,1778,MtCO2,15.055333333333332,15.055333333333332,0.0,0.0,0.0,0.0,0.0,0.0
28,1779,MtCO2,15.059,15.059,0.0,0.0,0.0,0.0,0.0,0.0
29,1780,MtCO2,15.066333333333333,15.066333333333333,0.0,0.0,0.0,0.0,0.0,0.0
30,1781,MtCO2,16.855666666666664,16.855666666666664,0.0,0.0,0.0,0.0,0.0,0.0
