,98
code,
name,Total World
unit,MtCO2
1965,11189.710672665744
1966,11694.89448417731
1967,12055.547103935369
1968,12701.48048971129
1969,13483.695285369075
1970,14291.70938565347
1971,14762.395587609852
1972,15463.070164029077
1973,16332.13679492405
1974,16239.61909548395
1975,16557.213132030665
1976,17479.52372566171
1977,18019.576396273816
1978,18363.118208253974
1979,18942.49140298457
1980,18719.247371353496
1981,18415.234566221032
1982,18220.502294172704
1983,18340.140579548173
1984,19034.67325272892
1985,19441.077622928166
1986,19767.012746955803
1987,20360.151893300175
1988,21034.955466371306
1989,21438.37006268196
1990,21548.909468620437
1991,21604.36304419375
1992,21641.230515212275
1993,21698.76484120833
1994,21913.546153906136
1995,22201.130265205884
1996,22803.628390479997
1997,22973.44249519038
1998,23031.220106278324
1999,23313.99188643872
2000,23847.931486280708
2001,24175.25933340063
2002,24733.770112140126
2003,25960.35229010655
2004,27308.375630099166
2005,28398.672224584392
2006,29281.54445278016
2007,30330.35148677809
2008,30607.540585314433
2009,29964.059266510245
2010,31291.428595906
2011,32172.508225829082
2012,32503.997053376126
2013,33071.15206373675
2014,33140.6673302637
2015,33206.14524912648
2016,33361.88009184553
2017,33726.86817924029
2018,34351.09895751674
2019,34356.611794979304
2020,32318.64485440851
