code,name,fuel,unit,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BWA,Botswana,Total CO2 emissions,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.232439976,1.279654588,1.249508459,1.227665691,1.21675577,1.517163726,1.639398689,1.761208501,2.075161596,2.282128114,2.564767713,2.607885419,3.252271257,3.055759068,2.991893675,3.02467312,2.721831559,2.787109709,3.053071438,2.798868952,3.861523501,3.511330594,3.489899564,3.290869915,3.749805131,4.061087521,4.238218136,4.07774137,3.940151317,4.180684536,4.219064426,4.385739465,4.186221336,4.327005721,4.670282678,6.004342771,6.78770549,6.264534639,6.188921367,
BWA,Botswana,Coal and coke,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814609976,0.879654588,0.949508459,0.927665691,0.91675577,1.017163726,1.139398689,1.161208501,1.375161596,1.482128114,1.664767713,1.607885419,2.052271257,1.955759068,1.891893675,1.92467312,1.621831559,1.487109709,1.753071438,1.498868952,1.961523501,1.911330594,1.989899564,1.790869915,1.849805131,2.061087521,2.138218136,1.934079868,1.740151317,1.580684536,1.519064426,1.628098168,1.431347084,1.347532158,1.584787596,2.578742771,3.55417949,3.344475823,3.132777551,2.922402122
BWA,Botswana,Consumed natural gas,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,Botswana,Petroleum and other liquids,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41783,0.4,0.3,0.3,0.3,0.5,0.5,0.6,0.7,0.8,0.9,1.0,1.2,1.1,1.1,1.1,1.1,1.3,1.3,1.3,1.9,1.6,1.5,1.5,1.9,2.0,2.1,2.143661503,2.2,2.6,2.7,2.757641297,2.754874253,2.979473563,3.085495082,3.4256,3.233526,2.920058816,3.056143816,
