,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,World,gas,MtCO2eq,2048.463652,2158.087347,2237.853518,2290.357773,2253.834552,2375.721994,2435.872663,2514.961971,2660.999699,2712.856004,2748.268338,2753.342072,2781.410576,2986.652456,3073.900611,3115.391885,3292.671458,3432.576093,3606.927742,3676.121952,3798.447403,3781.491089,3849.862282,3874.050684,3984.780972,4153.023066,4217.737146,4275.921549,4422.073585,4567.322173,4628.942507,4789.888339,4969.345221,5104.151562,5223.08143,5370.843409,5582.730841,5739.747805,5580.971395,6057.464234,6146.725564,6263.048097,6349.277867,6342.486626,6447.273823,6625.56966,6775.13957,7098.052606,7267.203157,
1,Annex I Parties ,gas,MtCO2eq,,,,,,,,,,,,,,,,,,,,3000.274342,3082.745011,3050.953761,3080.193318,3056.398386,3118.844803,3249.956267,3246.365922,3233.324727,3321.656798,3403.872004,3385.16321,3457.472528,3525.956241,3548.890984,3563.299688,3571.624474,3687.012319,3712.433161,3544.533602,3781.106414,3784.471661,3815.982617,3823.230192,3755.388274,3762.737264,3846.354976,3875.040794,4076.553811,4147.895203,
2,   Annex II Parties   ,gas,MtCO2eq,1446.011792,1522.832916,1565.798971,1577.093378,1503.472593,1564.919824,1570.898516,1593.833562,1667.33526,1655.963341,1626.536639,1546.480103,1501.279868,1607.717179,1603.856351,1553.887155,1636.038515,1694.668373,1766.072799,1759.44129,1829.406643,1868.792704,1945.514269,1994.556916,2089.982895,2196.050243,2240.501658,2248.359543,2311.191423,2386.926937,2354.788892,2414.937906,2426.347772,2450.79256,2452.277376,2445.822592,2550.306774,2581.259282,2500.571445,2649.22785,2621.690888,2673.434929,2693.353804,2649.781829,2714.59394,2789.802679,2775.837089,2940.094694,3011.464816,
3,      North America      ,gas,MtCO2eq,1266.118055,1288.27017,1283.223746,1244.8185,1151.384307,1174.603869,1157.51329,1157.747877,1197.04202,1183.92125,1156.747965,1082.421346,1019.252272,1087.639949,1059.64208,998.5883827,1049.577264,1107.574002,1157.011153,1115.82518,1134.761455,1169.04436,1210.568118,1240.539304,1289.620712,1320.320884,1357.993193,1333.354861,1346.114981,1399.048929,1340.134372,1387.23309,1364.598355,1364.715138,1349.858283,1333.143759,1421.405587,1424.505358,1392.551634,1460.814999,1494.814732,1555.186361,1591.102616,1629.118168,1674.24669,1685.845364,1656.263879,1837.411059,1898.259817,
4,      Europe      ,gas,MtCO2eq,167.0552223,219.5158288,261.2026896,306.3131603,323.4776475,355.7413193,370.6043288,381.9917357,408.7333016,402.3090904,395.9230504,385.8478515,400.2032551,416.7824147,433.081739,441.0577092,468.6770201,463.6409761,478.3189757,492.9887165,536.9899903,538.9581065,570.1051684,582.0086483,621.6104575,689.8827811,690.4870818,718.6851477,756.981511,772.3523758,796.3128337,801.5083779,835.8469765,860.7619389,878.0677453,870.7870248,862.9693978,893.8843642,845.2128811,912.8687234,816.8548128,795.7191748,779.5439626,694.5588628,726.0025409,782.4625193,800.8880841,792.6569508,809.5929743,
5,      Asia Oceania,gas,MtCO2eq,12.83851536,15.04691738,21.37253512,25.96171719,28.6106384,34.57463585,42.78089671,54.09394925,61.55993917,69.7330009,73.86562383,78.21090608,81.82434128,103.294815,111.1325316,114.2410633,117.7842314,123.4533945,130.7426699,150.6273928,157.655198,160.7902379,164.8409834,172.008963,178.7517256,185.8465786,192.0213824,196.3195349,208.0949307,215.5256313,218.3416857,226.1964379,225.9024402,225.3154829,224.3513476,241.8918075,265.9317891,262.8695597,262.8069294,275.5441278,310.0213431,322.5293927,322.7072247,326.1047984,314.344709,321.4947952,318.6851258,310.0266843,303.6120245,
6,   Annex I EIT   ,gas,MtCO2eq,,,,,,,,,,,,,,,,,,,,1234.534267,1246.062295,1174.413257,1126.25395,1052.427798,1016.681121,1038.957732,987.7577078,965.3234923,986.1656203,988.000059,999.1414728,1008.862246,1058.864862,1055.141776,1058.595794,1065.057249,1065.659064,1060.894,976.3665327,1058.499873,1076.841882,1055.525123,1041.895959,1012.203487,956.5348565,968.993959,996.0063123,1042.577666,1050.897702,
7,Non-Annex I Parties ,gas,MtCO2eq,,,,,,,,,,,,,,,,,,,,675.8476103,715.702392,730.5373286,769.6689643,817.6522989,865.9361691,903.0667998,971.3712232,1042.596822,1100.416788,1163.45017,1243.779297,1332.415812,1443.38898,1555.260578,1659.781743,1799.218935,1895.718522,2027.314644,2036.437793,2276.35782,2362.253903,2447.06548,2526.046926,2587.095161,2684.441436,2779.096951,2899.92487,3021.271433,3118.842184,
8,Annex B Kyoto Parties,gas,MtCO2eq,,,,,,,,,,,,,,,,,,,,946.1418671,973.1963506,959.3496491,960.2595184,943.4789348,989.009822,1074.52715,1052.350237,1061.058245,1110.233048,1123.270363,1150.241815,1164.040326,1214.005615,1233.805666,1258.415771,1243.805677,1235.832444,1270.821315,1179.175682,1282.430572,1181.363346,1149.321016,1129.039099,993.7671818,1010.131808,1075.474982,1105.22283,1102.906044,1121.085499,
9,OECD Total,gas,MtCO2eq,1490.411409,1570.576725,1617.641004,1632.390929,1561.069885,1626.027597,1636.987028,1669.836217,1754.357578,1745.775649,1719.180441,1646.988511,1603.930279,1712.903881,1712.872679,1660.979942,1749.032874,1811.038579,1886.556967,1906.281482,1979.743971,2015.11537,2094.055489,2150.683081,2257.706654,2384.578796,2446.56641,2466.503308,2537.707788,2636.109225,2619.185616,2697.019824,2733.883235,2779.404444,2798.151723,2812.561186,2930.209128,2968.553009,2880.853364,3073.490391,3065.043882,3125.209836,3152.473498,3094.783925,3161.706521,3248.538388,3260.336738,3420.983828,3474.6561,3440.722837
