,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Non-OECD Total,total_fuel_combustion,MtCO2eq,4259.78317,4495.629516,4780.094038,4994.382241,5416.889517,5674.080418,5985.503552,6361.735205,6617.527854,6783.883481,6846.814673,7018.280181,7218.451198,7478.033976,7620.165388,7912.145839,8286.677301,8604.021396,8809.995316,9100.498316,9177.167098,9055.354015,9089.393894,8980.739269,9390.957894,9435.651107,9557.065763,9696.386285,9742.434618,10112.85974,10469.35129,10875.53137,11686.66508,12667.41874,13549.29322,14447.76295,15290.21163,15825.29734,16173.36525,17414.43129,18522.29862,19103.32564,19649.7203,19922.54753,19833.71645,19881.16748,20400.7832,21059.25829,21424.53967,
11,International marine bunkers,total_fuel_combustion,MtCO2eq,357.5938438,374.3002299,395.4632105,369.5599874,344.6306724,355.3776779,355.1834289,357.342783,368.2092728,360.5513115,335.1747645,302.0237189,282.7610762,286.568501,309.3389282,328.8566965,325.3515073,341.0368537,340.8372206,374.7230284,389.6190959,418.5676361,405.6802613,418.4620952,431.8310019,441.9886011,452.8660866,466.5717823,494.0981687,507.1706972,481.2240065,499.6016307,507.3906821,557.5161053,577.3669279,615.0620115,651.7706495,653.1610711,621.0371958,668.4338021,669.1004287,622.5354101,621.0426084,641.9483709,666.4802825,685.0204135,708.9310449,707.4703513,691.7417364,
12,International aviation bunkers,total_fuel_combustion,MtCO2eq,170.7424322,180.6725781,188.4830564,181.3236887,175.3459122,175.7570733,191.6866481,198.9012747,205.711211,204.5340631,203.7878271,211.1302863,212.9848893,220.9903827,227.0725353,249.4966026,263.7899528,278.7188461,292.7673279,261.1980995,254.0448301,262.2812984,267.2776744,280.9545954,291.5640135,303.4081643,318.2938453,329.0197552,343.0370644,355.6300172,349.0739737,369.824251,367.7737357,397.2570461,422.4033717,437.8435242,451.8767448,459.7799268,437.9008024,462.1045889,476.1303268,476.7442096,485.0019287,500.8542834,529.1191808,552.8732472,587.1854458,614.8185817,623.020683,
13,Canada,total_fuel_combustion,MtCO2eq,345.6174905,363.505258,381.4578758,391.3020351,382.9131229,395.0909743,407.5522851,409.2327124,423.6079855,428.6549595,408.9773686,391.4714926,384.7758411,400.2213688,399.743624,391.5970419,402.5126834,432.8563172,448.5076383,416.1453329,410.4421587,423.3287776,420.4382817,436.0121139,445.7012438,459.9298378,474.7144269,481.6629842,491.3174299,511.1269761,503.651091,522.2885077,542.0506865,534.1233237,546.8687797,537.419301,568.3463563,548.0025716,520.2115886,534.3048059,546.9030693,545.4969756,555.1324815,560.1827267,557.310791,556.3947508,567.1588657,579.1664733,579.6198785,531.1588332
14,Chile,total_fuel_combustion,MtCO2eq,21.71039734,21.30096162,20.63687055,20.33982367,17.7172062,18.51134423,19.32040473,20.06140376,21.31922991,22.11658102,22.03336219,19.11113514,19.77457151,21.01275193,20.44423411,21.07509864,21.39777371,25.76293412,31.02739477,30.55267596,29.44882519,30.45667979,32.24447756,35.35747428,38.51498832,44.47610956,51.06392804,51.74257594,54.32946669,50.31993135,48.34842914,49.1211418,50.28758598,55.06845457,56.1411413,57.41226435,64.88732081,68.40267083,66.10386905,70.53310097,77.4000198,79.71684086,84.49614562,77.34723318,82.95891935,87.22724564,88.17458024,87.81940651,92.58817647,81.73884008
15,Mexico,total_fuel_combustion,MtCO2eq,96.69143921,109.5373248,120.8720397,131.6572925,138.0355551,148.8258241,158.0631342,174.1483295,188.0314897,209.0857365,224.2831551,235.1475518,228.3890858,236.5165069,245.8829702,244.7072315,254.4996233,253.3016833,267.3308117,262.5890093,280.9894915,283.9572568,291.534865,315.4830271,297.235679,310.7853863,329.2192389,351.6599332,342.184639,366.2007216,367.0000305,374.5872008,393.3166583,402.953146,419.5771523,434.2652589,440.949315,442.2303613,432.7392398,448.1456779,464.2003998,467.1860503,457.3522779,441.8262849,450.0999962,453.9760563,453.7687118,431.4543081,426.9380134,387.6652235
16,United States,total_fuel_combustion,MtCO2eq,4338.878522,4580.871542,4746.144125,4594.168246,4409.860737,4674.068651,4840.761852,4831.863678,4860.258119,4652.909279,4590.962612,4377.298331,4351.143661,4543.93613,4572.447862,4536.804233,4693.929961,4904.956416,4967.550555,4864.070358,4826.585182,4900.254591,5018.215386,5091.077479,5142.605787,5300.693432,5569.443283,5617.211926,5636.094131,5803.801621,5775.09044,5618.033007,5685.606636,5765.145579,5781.165968,5680.264768,5765.283543,5588.511367,5193.053946,5428.235357,5202.587878,4975.23911,5114.556191,5123.145607,5004.512625,4914.051968,4836.227314,4987.469367,4821.297623,4354.155685
17,OECD Americas,total_fuel_combustion,MtCO2eq,4831.339219,5104.124085,5299.321277,5169.833874,4978.637601,5268.366771,5458.608899,5470.267294,5528.57122,5349.572386,5283.19093,5060.572311,5023.467559,5241.570162,5280.125281,5236.529664,5417.18105,5662.313391,5761.646087,5621.394132,5597.155506,5689.533724,5816.628808,5932.192868,5980.692149,6172.389708,6484.922356,6562.974651,6577.016552,6787.024944,6750.047687,6617.844567,6724.504703,6810.585826,6858.059881,6763.815254,6894.983364,6703.470915,6271.055424,6541.501445,6356.111155,6132.486457,6284.564202,6277.423295,6170.561119,6090.428182,6016.372883,6160.568275,5997.615856,5427.327072
18,Australia,total_fuel_combustion,MtCO2eq,145.8026002,150.9629039,160.3660989,175.2235772,182.1952409,184.6416507,198.7644589,193.9205518,200.2665259,209.6949007,210.3653935,216.7412606,204.7531731,211.110711,223.3045971,224.6629165,235.0369857,244.1219825,257.6915854,263.2048184,264.5151678,268.5524983,272.650684,278.5548825,289.0501663,299.6328593,307.0041776,327.7363501,332.8589754,338.7873746,345.1175835,353.1934013,352.1670651,365.6128984,369.7648957,375.1172112,385.4271891,388.7406977,395.0823335,387.7020544,386.1039161,386.1116059,379.8012319,370.4991072,376.8418487,385.0077518,389.3514203,386.8994439,385.156349,380.4054644
19,Israel,total_fuel_combustion,MtCO2eq,13.88936306,14.56083477,15.79583894,15.96645374,16.55653467,16.63257062,17.53822472,18.74508402,19.17675915,19.01944667,19.81236717,21.12492357,21.98309137,22.87704461,24.53402755,26.96538655,29.2626313,30.98092858,32.24563606,33.14288858,33.66361581,35.91636101,39.43044628,42.26448345,45.31953178,47.52968706,49.73770652,49.79599516,51.21606384,55.37446737,56.66373098,59.81292175,61.57051141,61.74104959,59.34664897,62.57006851,64.85491942,65.08795548,64.44869127,69.06472101,68.13611311,74.43425358,65.36299325,62.94745116,64.45463369,63.54318564,64.2369195,59.90161022,61.51226299,58.55125148
