,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,World,coal,MtCO2eq,5297.244895,5372.974981,5573.858828,5603.169177,5717.346241,5947.15289,6134.494746,6294.89383,6571.403412,6677.3751,6736.521192,6770.250278,6945.375492,7258.438386,7485.267768,7562.725509,7880.097823,8143.497123,8237.632029,8385.853874,8338.051491,8214.936041,8234.96799,8244.208265,8588.050884,8653.988519,8701.418542,8708.818461,8533.105366,9003.488949,9242.248826,9433.941038,10160.31255,10826.92463,11535.49774,12181.81536,12867.42502,13022.08621,13018.83659,13927.13588,14685.68211,14817.32613,15167.45917,15193.04848,14718.63114,14474.8005,14717.95606,15082.57611,14891.53866,
1,Annex I Parties ,coal,MtCO2eq,,,,,,,,,,,,,,,,,,,,5261.422779,5094.30134,4914.746924,4768.127987,4663.864397,4717.100269,4782.566492,4750.3974,4657.909004,4600.584175,4807.294768,4810.47884,4732.251425,4859.833476,4848.912571,4833.12634,4882.984514,4958.126813,4782.638771,4282.887502,4514.110682,4426.577912,4273.458606,4267.60383,4135.501224,3874.177063,3680.163266,3602.382934,3509.958544,3138.268084,
2,   Annex II Parties   ,coal,MtCO2eq,2732.971518,2718.601701,2828.915069,2793.786828,2691.29337,2838.762165,2873.211567,2829.841193,3014.012748,3056.879126,3155.494492,3099.834353,3175.127167,3276.290995,3417.761035,3342.357696,3428.533864,3529.116016,3562.537674,3580.484527,3527.963508,3451.862195,3422.874907,3436.576755,3486.257805,3572.08254,3631.480114,3592.701751,3547.426534,3722.939367,3744.117731,3680.855849,3768.416042,3788.475503,3792.882462,3769.683823,3830.307569,3671.787939,3274.367774,3444.390052,3315.747108,3156.562311,3206.028374,3124.117727,2863.811163,2664.821473,2610.492906,2479.494983,2144.604592,
3,      North America      ,coal,MtCO2eq,1177.185157,1238.022609,1309.465834,1300.835335,1292.782804,1380.515516,1433.597799,1419.33324,1505.085999,1523.769843,1605.081355,1543.548822,1628.896407,1724.846666,1772.500459,1728.464502,1808.674359,1900.151081,1916.370805,1943.717931,1934.446468,1941.399593,1983.837016,1992.341462,2049.762082,2129.14414,2228.31615,2210.657381,2193.710237,2309.550429,2308.834834,2222.33757,2261.495796,2281.384233,2301.88733,2266.83356,2302.980322,2249.780948,1970.520651,2085.053587,1966.945883,1736.444385,1790.243243,1782.023752,1541.895887,1432.372293,1400.67523,1327.67941,1131.707621,
4,      Europe      ,coal,MtCO2eq,1273.317573,1188.796596,1220.164747,1188.607764,1094.597709,1155.291981,1139.873612,1136.772644,1218.15511,1222.913432,1225.173007,1215.869217,1215.693557,1193.989969,1265.313861,1245.005558,1244.099955,1227.027386,1233.931328,1194.634484,1145.108832,1061.588415,984.5099993,978.5959975,956.6686598,947.2624805,897.1782871,884.2225562,838.7676141,870.4763296,876.1761817,879.0418328,911.5533378,896.1895609,871.5060903,884.5838871,890.7455906,802.4597739,693.4466584,727.3095039,739.3074408,793.8169972,773.9932675,713.788877,691.8916514,605.9020771,580.1138925,543.7906424,414.4295415,
5,      Asia Oceania,coal,MtCO2eq,282.4687875,291.7824956,299.2844891,304.3437296,303.9128562,302.954668,299.7401555,273.7353083,290.7716383,310.1958514,325.2401302,340.4163138,330.5372026,357.4543601,379.9467148,368.8876352,375.75955,401.9375483,412.2355412,442.1321124,448.4082076,448.8741875,454.5278917,465.6392959,479.8270626,495.6759197,505.9856777,497.8218137,514.9486828,542.9126081,559.1067152,579.4764462,595.3669078,610.9017087,619.4890418,618.2663752,636.5816574,619.5472172,610.4004649,632.0269608,609.4937843,626.3009292,641.7918636,628.3050985,630.0236244,626.5471026,629.7037838,608.0249306,598.4674291,
6,   Annex I EIT   ,coal,MtCO2eq,,,,,,,,,,,,,,,,,,,,1617.520351,1498.748537,1394.967003,1280.789699,1164.026905,1164.958745,1134.357617,1035.312471,979.8628348,974.4522888,991.6128228,989.0881819,970.5345672,1005.767305,971.2437126,950.3825311,1006.610283,1007.052971,993.4415844,886.8259396,942.3412314,978.1587567,976.7788848,940.2871654,877.2421245,873.5806938,862.2611507,833.7021176,867.5802548,828.7208784,
7,Non-Annex I Parties ,coal,MtCO2eq,,,,,,,,,,,,,,,,,,,,3124.431095,3243.750151,3300.189116,3466.840003,3580.343868,3870.950615,3871.422027,3951.021142,4050.909457,3932.521191,4196.194181,4431.769986,4701.689614,5300.479076,5978.012055,6702.371403,7298.830844,7909.298211,8239.447443,8735.949092,9413.0252,10259.1042,10543.86753,10899.85534,11057.54726,10844.45408,10794.625,11115.57312,11572.61757,11753.27058,
8,Annex B Kyoto Parties,coal,MtCO2eq,,,,,,,,,,,,,,,,,,,,2399.494472,2285.896158,2175.687043,2042.298586,1960.094875,1905.427537,1862.434772,1770.704052,1733.859743,1651.993846,1680.526414,1695.095367,1695.819883,1772.935979,1756.053417,1718.174623,1773.42118,1806.613045,1724.846907,1550.16658,1604.576909,1631.949291,1671.002595,1621.577283,1511.970614,1436.376685,1367.140628,1330.92302,1288.639059,1107.218514,
9,OECD Total,coal,MtCO2eq,3245.027397,3239.102845,3360.639935,3337.339029,3247.240826,3425.615205,3479.013315,3464.630077,3668.052034,3728.23103,3806.471584,3771.028883,3861.673759,4003.528335,4171.725963,4107.644754,4217.991548,4304.989297,4313.996594,4290.676109,4226.050376,4116.903635,4088.862825,4089.688364,4150.13019,4277.604192,4341.089445,4273.89,4205.683173,4433.47985,4452.339168,4376.956398,4494.004579,4524.55327,4528.36362,4550.092217,4628.282627,4476.2637,4078.539487,4307.842351,4210.948752,4038.990662,4063.594753,3976.22339,3734.378707,3536.284238,3496.755621,3356.140275,2978.888118,2584.157513
10,Non-OECD Total,coal,MtCO2eq,2052.119273,2133.803378,2213.218893,2265.830148,2470.105415,2521.537685,2655.481431,2830.263753,2903.351378,2949.14407,2930.049608,2999.221394,3083.701733,3254.910051,3313.541805,3455.080755,3662.106275,3838.507826,3923.635435,4095.177765,4112.001115,4098.032406,4146.105164,4154.5199,4437.920694,4376.384327,4360.329097,4434.928461,4327.422193,4570.0091,4789.909658,5056.98464,5666.307972,6302.371355,7007.134122,7631.723141,8239.142397,8545.822515,8940.297106,9619.293531,10474.73336,10778.33547,11103.86442,11216.82509,10984.25243,10938.50403,11221.20044,11726.43583,11912.65055,
11,International marine bunkers,coal,MtCO2eq,0.098224885,0.068757578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012234246,,,,
12,International aviation bunkers,coal,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Canada,coal,MtCO2eq,64.35598819,59.74344993,60.37626167,59.09147758,59.37022336,65.21805438,69.76734106,70.71925939,76.02956691,82.51820985,82.09915432,87.73756512,95.51177145,104.9854738,101.3309631,93.33041482,100.2643375,108.4251561,108.7941484,96.60835351,101.6433229,104.7586074,96.09621698,99.37638236,101.1455833,103.0271205,109.5812417,116.386358,116.9958578,126.4969302,123.8717776,120.6703037,119.821714,113.5447685,111.8443419,110.0168049,118.3206599,108.455122,90.28789454,93.08146419,87.80421905,80.31679566,76.6307724,74.82875652,69.46769517,69.56266763,69.91493635,58.25669091,53.86818552,42.04570146
14,Chile,coal,MtCO2eq,5.167808865,4.404543511,4.652943344,4.560511191,3.616089933,3.733112485,3.92317782,3.927845666,4.30078171,4.870104167,4.883107627,3.173028579,3.812695677,5.159155838,5.00179865,5.151721225,4.966581221,7.071535399,9.256026958,9.853767166,8.007232553,7.220366757,7.046573128,8.537233943,8.945785935,12.44792525,16.12707641,15.2209388,15.70255636,11.72421279,9.246000144,9.354074349,9.125829012,10.46230365,10.31026862,13.4670947,13.07001995,16.17176413,15.15440717,17.62948925,21.54583089,24.77210344,28.15273721,24.33527462,27.89686486,29.39613206,29.56392831,28.29226301,31.69517249,23.92810936
