,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,World,int_aviation_bunkers,MtCO2eq,169.3009942,179.1474853,186.8920944,179.7933359,173.8660214,174.273795,190.0689778,197.2226277,203.9751251,202.8078882,202.067992,209.3484659,211.1874475,219.1253934,225.1561656,247.3909511,261.5637428,276.3667137,290.2966512,258.9937823,251.9009038,260.0678602,265.0220866,278.5835692,289.1034272,300.8476604,315.6076997,326.243076,340.1420859,352.6288305,346.1281012,366.7032435,364.6701452,393.9046449,418.8387873,434.1486503,448.0634921,455.899981,434.2054856,458.2050421,472.1124072,472.7211159,480.9091246,496.6276977,524.6540321,548.2077819,582.2304892,609.6304688,617.76324,0.0
1,Annex I Parties ,int_aviation_bunkers,MtCO2eq,,,,,,,,,,,,,,,,,,,,171.4527995,166.5085387,169.4031383,169.8907884,174.3572178,181.933944,190.0170415,199.6518691,207.8958992,220.2285872,226.6582501,219.0544994,231.9378363,229.9464114,242.6219204,256.8417644,261.8897008,267.0686694,268.8824734,248.4971285,254.604502,260.5261748,256.1441283,257.5516689,263.4733102,275.9476134,284.6634758,300.9351697,313.2161017,316.3003149,0.0
2,   Annex II Parties   ,int_aviation_bunkers,MtCO2eq,59.16683809,63.01125988,67.20658406,61.45340274,62.36980808,62.69722513,70.26692877,72.49067504,74.45156462,71.48664271,69.43193004,72.30853415,72.30464123,77.73953256,82.29577893,98.09328356,105.2593934,113.2097202,120.4600148,132.6229551,132.3051744,140.1139357,144.829872,152.8758434,161.3704593,170.4971579,179.8430338,189.3092691,201.1128721,206.510138,198.505838,209.724233,206.8184527,219.1262071,231.3125325,235.3833202,239.9857581,239.6447192,219.7950655,225.055335,230.5992049,226.1337217,228.4470727,231.4075786,242.4522999,251.3158481,264.1250417,273.9207572,274.8871632,0.0
3,      North America      ,int_aviation_bunkers,MtCO2eq,16.77361401,17.15947068,17.51662777,16.82782532,17.70477285,17.36356066,22.15966638,21.59841961,22.38607786,21.39114119,20.58434959,21.30504066,20.06455885,22.42721632,22.04800159,34.06696592,35.96755,38.04676605,39.86762797,41.91809072,42.2593029,44.02595351,44.61271083,46.08279374,49.02933736,51.18822303,55.21261451,56.41801895,60.54445557,60.80594531,55.51874903,67.98415913,64.1160235,66.3833312,71.40903774,71.71517226,72.65270858,72.87912035,66.09314129,68.71760607,68.53902782,64.77293674,65.57016181,67.16780071,73.53922293,75.60563028,76.14023944,78.05202034,79.23140953,0.0
4,      Europe      ,int_aviation_bunkers,MtCO2eq,36.32244529,39.51374339,42.22238925,38.63434235,38.05017715,38.40063115,40.98014208,43.43423336,45.68289616,43.13065083,41.98772746,42.04368579,42.73937693,44.80935966,49.0861985,51.91021372,55.53395667,59.8014653,63.24548568,71.5891234,70.04295731,75.5589177,79.6452355,84.30095035,88.1431589,92.61439922,97.01678105,103.5503958,111.5972844,116.9012225,114.1403954,112.0403179,114.080994,122.0009507,127.9305088,133.0026799,137.2397493,137.5894889,127.5349832,127.3302362,131.3024989,129.2147661,129.7992533,130.8307064,135.4171086,139.8999554,149.7231161,155.9482645,158.0128575,0.0
5,      Asia Oceania,int_aviation_bunkers,MtCO2eq,6.07077879,6.338045802,7.467567036,5.991235059,6.614858085,6.933033313,7.127120306,7.458022065,6.382590603,6.964850686,6.859852995,8.959807701,9.500705438,10.50295658,11.16157884,12.11610392,13.75788678,15.36148885,17.34690119,19.115741,20.00291423,20.52906448,20.5719257,22.49209935,24.19796299,26.69453563,27.61363819,29.34085431,28.97113204,28.80297019,28.84669356,29.69975605,28.6214352,30.74192515,31.97298591,30.66546808,30.09330019,29.17610991,26.16694098,29.00749274,30.75767817,32.14601888,33.07765759,33.40907154,33.49596836,35.81026241,38.26168614,39.92047242,37.64289622,0.0
6,   Annex I EIT   ,int_aviation_bunkers,MtCO2eq,,,,,,,,,,,,,,,,,,,,37.33244848,32.37661066,27.40466281,23.13655807,19.7225672,18.73522966,17.63100373,17.24080578,16.11288761,16.63535175,17.37535116,17.72923918,18.41129063,19.17949262,19.35882479,21.10058655,22.3537323,22.44551404,24.14848417,23.3377397,24.7532331,25.20293623,25.79602517,24.02856091,23.19300326,21.74777064,21.89595203,24.83452219,26.48455147,26.80461656,0.0
7,Non-Annex I Parties ,int_aviation_bunkers,MtCO2eq,,,,,,,,,,,,,,,,,,,,87.54098284,85.39236515,90.66472188,95.13129814,104.2263514,107.1694831,110.830619,115.9558306,118.3471768,119.9134987,125.9705804,127.0736018,134.7654072,134.7237338,151.2827246,161.9970229,172.2589495,180.9948227,187.0175075,185.7083571,203.6005402,211.5862324,216.5769876,223.3574557,233.1543876,248.7064187,263.5443062,281.2953194,296.4143672,301.462925,0.0
8,Annex B Kyoto Parties,int_aviation_bunkers,MtCO2eq,,,,,,,,,,,,,,,,,,,,90.28882205,87.49194085,89.6639512,91.45344818,96.2701791,100.3859028,104.9294421,109.548454,116.2173625,124.076763,129.5450521,127.64552,124.1101087,126.18544,135.8347615,143.4383369,149.0669145,154.3523431,155.2154287,143.3791299,145.3831327,148.9390249,147.2923879,148.0703099,150.5499447,155.6850564,161.5967628,174.6567266,182.9603979,185.2664882,0.0
9,OECD Total,int_aviation_bunkers,MtCO2eq,64.88941541,69.30177837,74.50143265,69.10969633,69.7941754,70.92780589,79.00165926,82.18604702,85.41144231,82.72395813,81.36364623,84.15584348,84.05164734,89.49651541,94.36905343,110.2686303,118.356401,126.3813597,135.7625193,145.6593267,145.7813704,154.3813448,160.0863246,169.5490976,178.3598026,187.7697176,197.6393583,207.6239021,219.403119,225.6582077,217.5526886,231.7178216,229.8242732,243.5413206,259.986372,266.6152897,273.4739836,275.0297618,252.8190221,259.1536834,264.8428918,261.3462664,265.5294202,274.0175548,289.3395134,300.6804796,316.2278948,330.1076604,334.0060039,0.0
10,Non-OECD Total,int_aviation_bunkers,MtCO2eq,104.4115788,109.845707,112.3906618,110.6836396,104.071846,103.3459891,111.0673186,115.0365806,118.5636827,120.0839301,120.7043457,125.1926224,127.1358002,129.628878,130.7871122,137.1223208,143.2073418,149.985354,154.5341319,113.3344556,106.1195335,105.6865153,104.935762,109.0344716,110.7436246,113.0779428,117.9683414,118.6191739,120.7389668,126.9706227,128.5754126,134.9854219,134.845872,150.3633243,158.8524154,167.5333606,174.5895085,180.8702191,181.3864634,199.0513587,207.2695154,211.3748496,215.3797044,222.610143,235.3145187,247.5273024,266.0025944,279.5228085,283.7572361,0.0
11,Canada,int_aviation_bunkers,MtCO2eq,1.265993236,1.3393379,1.530672013,1.686928167,1.948417903,2.012196041,2.072785137,1.846373062,1.594449852,1.361660293,1.125681692,2.465019591,1.096981515,1.51759916,1.227673404,1.393496383,1.632663726,2.267307993,2.704187234,2.732887411,2.487341984,2.691431666,2.477775159,2.465019591,2.608520177,3.077288636,2.997565889,2.962488228,3.121933123,3.115555339,3.255866883,2.803043033,2.158885368,2.736076153,2.51285312,2.484153242,1.530672013,1.588072068,2.296007871,3.408933995,3.141066475,3.010321457,2.474586417,2.458641808,2.586197784,1.897395632,1.906962158,2.672298315,2.570253474,0.0
12,Chile,int_aviation_bunkers,MtCO2eq,0.438639753,0.432367633,0.39112381,0.375390822,0.35003848,0.372677859,0.407650156,0.525639606,0.503264084,0.548120493,0.634220724,0.557792982,0.493962309,0.513201324,0.497203886,0.624759862,0.682107381,0.691673907,0.752210174,0.570813001,0.561246475,0.574002042,0.596324436,0.663291316,0.647346706,0.647346706,0.749391547,1.077848163,1.10654834,1.05552577,1.058714812,1.199026356,1.087414989,1.167137436,1.065092596,1.224537491,1.387171428,1.610394461,1.313826764,1.537049797,1.32339359,2.130185191,1.884639765,1.96117347,1.696494693,1.747517263,1.846172194,2.028239138,2.300329077,0.0
13,Mexico,int_aviation_bunkers,MtCO2eq,1.403116037,1.619961287,1.868695455,2.484153242,2.420375104,2.806232075,2.959299186,3.096421988,3.778846356,4.276314992,4.429382103,4.317770737,4.215725896,4.387926359,4.579260473,4.574204825,4.661821697,4.202620063,4.958473582,5.285027216,5.501819336,6.092136403,6.446474569,7.061614771,6.825704293,6.612350377,6.934482337,7.696681988,8.111345093,8.133772851,8.101831096,7.814724267,7.958171724,8.465312844,8.602329688,8.965917094,9.938584803,9.514408002,8.038000129,8.162367363,8.204405144,8.682792666,9.087782987,9.712754765,10.32826509,11.11921834,11.90374038,12.48893071,12.4533822,0.0
14,United States,int_aviation_bunkers,MtCO2eq,15.50762078,15.82013278,15.98595576,15.14089716,15.75635494,15.35136462,20.08688125,19.75204655,20.79162801,20.02948089,19.45866789,18.84002106,18.96757734,20.90961716,20.82032818,32.67346954,34.33488627,35.77945805,37.16344074,39.18520331,39.77196092,41.33452185,42.13493567,43.61777415,46.42081718,48.11093439,52.21504862,53.45553072,57.42252245,57.69038997,52.26288215,65.1811161,61.95713814,63.64725505,68.89618462,69.23101902,71.12203657,71.29104829,63.79713341,65.30867208,65.39796135,61.76261528,63.0955754,64.7091589,70.95302514,73.70823465,74.23327728,75.37972202,76.66115605,0.0
15,OECD Americas,int_aviation_bunkers,MtCO2eq,19.21525628,19.83694456,20.50578262,20.53668214,21.40027432,21.58753596,26.6695571,26.47077081,28.00372498,27.53848411,27.1476686,27.81292698,26.30237874,28.6701953,28.44737338,40.46254625,42.61228534,44.40920311,47.0085674,49.34942226,49.8852308,52.4317625,53.38255143,55.88520132,58.66829423,60.57278095,65.13501209,67.3047807,71.84616512,71.90856591,66.59261692,78.92386098,74.96442695,77.81228359,82.92347879,83.89156665,85.72444997,85.95828953,77.48458195,80.77868141,80.61160781,78.37696512,79.47887074,82.56418198,89.59585091,92.52002063,93.90748408,97.17081167,98.17097663,0.0
