,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,World,fugitive,MtCO2eq,1836536.378,1872668.42,1955164.04,1935704.12,1915200.933,2074334.648,2106504.94,2099146.683,2157407.21,2047707.893,1868119.133,1898480.97,1862840.18,1929494.255,1967358.78,2014461.445,2044995.698,2114617.668,2187600.038,2253397.41,2246914.503,2207740.95,2216880.688,2227129.195,2290783.48,2348857.853,2360577.648,2368338.06,2360970.8,2464276.588,2478146.863,2456545.88,2619578.773,2715527.538,2831808.048,2881853.973,2933309.08,2970040.79,2920089.44,3035020.818,3113888.62,3172053.598,3178211.64,3212307.248,3204625.88,3195664.71,3236417.2,3348013.385,3395768.51,3201134.588
1,Annex I Parties ,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,   Annex II Parties   ,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,      North America      ,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,      Europe      ,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,      Asia Oceania,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,   Annex I EIT   ,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Non-Annex I Parties ,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Annex B Kyoto Parties,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,OECD Total,fugitive,MtCO2eq,311938.692,318686.2868,320766.398,310755.5847,305028.4493,309185.9268,312647.6734,327674.9403,347071.988,348660.9304,353485.1787,344515.6144,326105.0839,347011.1407,343824.3023,334775.3531,348172.7641,355599.5062,357952.4144,364022.4716,368060.3728,369626.4476,364849.9686,375758.554,387118.2482,392883.0214,402070.8233,404648.1447,398118.8252,402259.5729,404371.0986,398915.6827,402307.4115,402938.7001,406604.9608,414192.8051,422895.2198,431457.8968,424045.3178,448043.9124,472205.3364,495913.7112,506355.985,538242.4112,541349.3651,515689.6081,531933.6232,578711.5226,622537.3225,575004.4063
10,Non-OECD Total,fugitive,MtCO2eq,1523686.082,1553042.167,1633417.184,1623961.697,1609186.435,1764160.046,1792866.374,1770510.454,1809356.527,1698052.115,1513644.086,1552965.634,1535741.407,1581487.734,1622530.246,1678690.932,1695827.019,1758009.301,1828686.419,1888419.618,1877897.649,1837188.03,1851036.948,1850380.125,1902676.098,1955002.99,1957540.517,1962686.091,1961880.4,2061031.477,2072792.495,2056660.49,2216249.867,2311454.096,2423966.342,2466351.66,2509066.339,2537165.803,2494706.638,2585572.015,2640246.984,2674916.394,2670337.717,2672489.898,2661629.117,2678228.212,2702714.954,2767529.178,2770942.71,2624983.653
11,Canada,fugitive,MtCO2eq,20345.7514,21641.91598,22699.97208,21379.3665,20722.2445,19793.84273,20226.62813,20206.3334,22592.58988,23018.73133,22031.59277,22487.88175,22251.50453,25541.02258,27579.30973,27087.45043,28289.82793,30154.87155,29669.2584,29445.1783,30937.78257,32760.32275,32854.95928,32913.04573,35552.7477,36488.7529,37450.26083,39650.9886,39369.15885,40439.92638,40992.21688,40588.4708,41730.83105,42041.49875,42235.34173,44847.68133,45735.03693,44153.8663,42502.50373,45196.59125,46882.6355,45277.7403,47927.22503,51726.8795,51905.02573,53350.11535,56866.0102,59593.15733,58738.65945,56045.463
12,Chile,fugitive,MtCO2eq,301.9384925,304.921105,281.2567625,299.57851,304.34396,324.62308,331.97609,171.297875,162.8488325,235.6192125,279.500215,311.840005,298.7784125,305.513005,1293.287263,970.767155,818.353055,783.3474725,673.3396575,740.6739125,549.57994,544.5915675,744.4322075,957.6765275,1134.957243,1244.684273,1171.592837,1077.183077,1189.607063,1204.19083,1216.97538,1057.772212,926.2527625,905.8599425,864.911415,703.51571,505.621635,386.0369175,432.4056325,458.4097375,420.27754,358.1293825,377.7511875,386.8688275,419.52628,463.50755,407.46622,445.3941525,472.4201575,560.1722975
13,Mexico,fugitive,MtCO2eq,21146.88085,21741.4302,22370.51113,23866.12218,25399.82277,25828.69165,24332.95533,36585.14983,29357.64905,35230.22598,45371.52,46633.44778,40122.72905,36471.0892,35948.07093,30910.28653,32249.42865,30149.4923,29385.77833,29096.50448,30087.3118,29833.26405,31204.58763,32150.65423,33365.78415,36289.90423,39288.55737,39354.98083,37837.0001,38784.32313,38157.076,38133.814,41226.8839,41196.02425,41667.31113,42981.2481,43065.50545,43952.5959,41512.20948,41436.78843,40259.5652,45985.72073,45754.21188,45926.07083,43813.84398,42206.85335,36730.9622,37173.95887,37978.86292,40767.715
14,United States,fugitive,MtCO2eq,241789.2568,243840.6068,241313.275,229278.133,220782.4955,223778.2395,225531.6885,225607.5308,243317.9463,243865.7893,238228.7205,227525.7768,213370.737,232820.3898,227060.4793,222966.5163,230693.3505,240072.1518,243413.4825,248194.9095,247166.7183,246848.47,237757.4443,243895.25,244805.1375,245760.8615,247847.1865,246408.7045,240685.7445,241260.16,242038.803,238189.9693,236375.0723,236707.5565,239035.9433,242413.678,249151.6875,258603.6478,255651.7498,272443.348,295855.5195,313565.2953,320886.571,348001.5535,351164.8568,325649.699,341568.8633,385261.9973,425068.1843,382359.4313
15,OECD Americas,fugitive,MtCO2eq,287135.922,291017.8669,290102.6694,278257.8608,270538.7058,273080.0854,273819.1467,285715.6123,298370.5033,305402.6227,309072.9459,300148.8444,279835.118,298949.4091,295731.1009,286365.4238,296914.2909,305778.3171,307964.934,312589.643,313704.0118,315159.1358,308191.1852,316088.027,322519.0627,327373.5118,335239.6914,336826.1809,328783.3449,330992.3832,332018.711,327117.1154,329249.9197,329781.8598,332595.2004,339956.8015,347729.0389,356924.9074,350991.1328,371904.037,397678.3743,420550.7467,430755.6823,461897.8587,462939.8874,436050.7779,449705.2384,496552.2058,537153.1347,491839.9524
