code,name,fuel,unit,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CMR,Cameroon,Total CO2 emissions,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22945,2.3,2.7,2.7,2.7,2.7,3.0,2.8,2.7,3.2,3.4,3.5,3.6,2.8,3.1,3.1,3.0,3.1,3.1,3.2,3.3,3.2,3.2,3.4,3.4,3.4,3.839235198,4.315820519,4.139235198,4.839235198,5.81196958,6.336180487,5.897224026,5.024585929,6.98152875,7.280231735,6.920367464,7.071165269,7.080613401,
CMR,Cameroon,Coal and coke,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,Cameroon,Consumed natural gas,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039235198,0.039235198,0.039235198,0.039235198,0.41196958,0.294263986,0.533598694,0.60814557,0.920065395,1.333996735,1.412466464,1.786115269,2.151580401,1.934659854
CMR,Cameroon,Petroleum and other liquids,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22945,2.3,2.7,2.7,2.7,2.7,3.0,2.8,2.7,3.2,3.4,3.5,3.6,2.8,3.1,3.1,3.0,3.1,3.1,3.2,3.3,3.2,3.2,3.4,3.4,3.4,3.8,4.276585321,4.1,4.8,5.4,6.041916501,5.363625332,4.416440359,6.061463355,5.946235,5.507901,5.28505,4.929033,
