code,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ZAF,South Africa,energy,MtCO2eq,168.6937653,174.5797684,190.8802611,198.3764325,216.8071554,231.6657988,233.1979146,211.7645081,217.5274,228.7709531,241.5969013,239.7248791,232.6093364,247.7387208,251.9015139,248.8390877,264.2801697,263.8032149,266.6047007,273.9291785,269.2050202,265.4290424,275.2810847,281.8282072,295.0424435,304.8216358,321.4512344,329.781742,311.8776437,317.8838303,353.9046899,363.7830243,387.995879,416.1890449,413.2757417,415.0810496,433.2692951,464.5091635,440.9062641,462.5491685,446.5879778,465.4832113,475.2459898,486.7569249,462.2977045,462.37222,473.545261,471.4323058,477.0993653,
ZAF,Africa,energy,MtCO2eq,524.5232069,533.1536647,561.0930813,557.7471683,578.8051352,650.3054508,673.8034528,667.0846582,714.266813,713.7042855,672.7872968,670.5316749,679.8738788,712.2934389,739.387335,753.5688621,767.2743074,786.6593925,817.1857182,857.2076143,888.8738592,897.3701684,921.9581728,938.6942384,992.811218,1045.774298,1066.441693,1076.517116,1075.016809,1105.327129,1162.619277,1165.356154,1236.184118,1296.896774,1345.103381,1362.111072,1390.948175,1454.31145,1427.030578,1497.345466,1440.777594,1547.080659,1565.37865,1603.003527,1591.825284,1601.584778,1657.985817,1691.403073,1734.630465,
ZAF,Africa,energy,MtCO2eq,524.5232069,533.1536647,561.0930813,557.7471683,578.8051352,650.3054508,673.8034528,667.0846582,714.266813,713.7042855,672.7872968,670.5316749,679.8738788,712.2934389,739.387335,753.5688621,767.2743074,786.6593925,817.1857182,857.2076143,888.8738592,897.3701684,921.9581728,938.6942384,992.811218,1045.774298,1066.441693,1076.517116,1075.016809,1105.327129,1162.619277,1165.356154,1236.184118,1296.896774,1345.103381,1362.111072,1390.948175,1454.31145,1427.030578,1497.345466,1440.777594,1547.080659,1565.37865,1603.003527,1591.825284,1601.584778,1657.985817,1691.403073,1734.630465,
ZAF,South Africa,total_fuel_combustion,MtCO2eq,160.4782922,166.3914551,182.1436174,189.1226354,207.0788392,220.9562401,221.2350733,198.6840652,202.5370866,212.1646499,223.2260032,219.8342607,211.7464512,224.3820919,227.0369515,223.4933236,238.9887681,237.8247274,241.3907355,248.557703,243.451318,240.1886222,247.9553441,253.3632858,265.1086041,274.9018741,289.4922532,297.4441995,279.5749772,285.4670554,321.5935584,331.9675383,353.6422819,380.9552383,377.7968551,379.7179567,397.531607,428.124751,404.9647709,425.7363251,410.1612178,428.2979507,438.3472246,449.3030866,425.4008927,425.537333,436.5743277,434.7002696,440.0281954,
ZAF,Africa,total_fuel_combustion,MtCO2eq,287.3940672,302.673231,325.6276302,339.8676808,365.7827959,395.6463749,406.7152124,398.153188,416.4984558,441.9054774,468.3763043,478.8255716,485.7572445,502.2581491,515.0759963,520.7745836,552.2061324,562.9087887,574.9849699,587.4265783,594.2460399,605.4451399,615.5348925,617.8469854,646.720888,670.1922593,704.1243476,722.5936607,727.6636851,739.9447521,804.2490244,832.0625981,869.0386129,921.6495171,957.91686,978.6025341,1015.563113,1075.973071,1068.632726,1125.342079,1128.610229,1191.935693,1236.745973,1283.978364,1274.887179,1287.976949,1323.539343,1346.660362,1384.007747,
ZAF,Africa,total_fuel_combustion,MtCO2eq,287.3940672,302.673231,325.6276302,339.8676808,365.7827959,395.6463749,406.7152124,398.153188,416.4984558,441.9054774,468.3763043,478.8255716,485.7572445,502.2581491,515.0759963,520.7745836,552.2061324,562.9087887,574.9849699,587.4265783,594.2460399,605.4451399,615.5348925,617.8469854,646.720888,670.1922593,704.1243476,722.5936607,727.6636851,739.9447521,804.2490244,832.0625981,869.0386129,921.6495171,957.91686,978.6025341,1015.563113,1075.973071,1068.632726,1125.342079,1128.610229,1191.935693,1236.745973,1283.978364,1274.887179,1287.976949,1323.539343,1346.660362,1384.007747,
ZAF,South Africa,coal,MtCO2eq,130.6829035,134.2764293,147.0473002,154.7085284,170.2149815,183.6912091,184.3349225,160.3639312,167.0040126,175.9228345,185.2685934,182.1563548,173.9245098,183.7327416,187.3944345,184.4157281,197.7255634,194.0535796,196.4651106,202.22331,197.0268387,194.5878528,202.4417776,205.8912456,213.1896981,223.096183,236.1667152,243.9741741,225.8106129,232.9593736,268.2221761,277.6366949,297.5661918,322.8526025,317.5683812,318.4181603,331.5772719,363.8861897,341.8786248,359.7946584,336.9707222,355.1225331,360.5093401,374.2311897,346.424498,350.459404,356.0911621,353.6191045,357.661698,
ZAF,Africa,coal,MtCO2eq,145.1850055,148.5794494,162.1473611,169.8989223,185.2937582,200.5296039,199.9343202,175.6453992,182.0533875,191.5337878,201.5650372,199.1358517,190.5997845,200.8605899,206.6726324,206.2799227,223.5066956,219.8319911,223.1035698,231.1561891,227.5848444,224.9790978,231.869514,233.6155557,241.926434,251.7871085,263.8454452,273.842039,255.9484844,265.2956446,303.4823278,312.7373971,329.7988248,354.9575531,351.0255733,351.3438842,364.758556,394.2065865,370.1522178,389.5556723,368.3500463,386.0472499,393.5388309,414.2616146,388.5262899,390.9847614,405.3052463,413.3951312,426.0080555,
ZAF,Africa,coal,MtCO2eq,145.1850055,148.5794494,162.1473611,169.8989223,185.2937582,200.5296039,199.9343202,175.6453992,182.0533875,191.5337878,201.5650372,199.1358517,190.5997845,200.8605899,206.6726324,206.2799227,223.5066956,219.8319911,223.1035698,231.1561891,227.5848444,224.9790978,231.869514,233.6155557,241.926434,251.7871085,263.8454452,273.842039,255.9484844,265.2956446,303.4823278,312.7373971,329.7988248,354.9575531,351.0255733,351.3438842,364.758556,394.2065865,370.1522178,389.5556723,368.3500463,386.0472499,393.5388309,414.2616146,388.5262899,390.9847614,405.3052463,413.3951312,426.0080555,
ZAF,South Africa,oil,MtCO2eq,28.32138754,30.5616544,33.47355687,32.70566091,35.05288434,35.57340618,35.24660104,36.66874912,33.85500391,34.49917105,36.14070203,35.81101546,35.92387464,38.66436611,37.62138533,37.01106187,39.11070241,41.57766526,42.66552712,44.02350834,44.06819266,43.21468594,43.08191783,44.98976787,49.38253966,49.22615151,50.7048769,50.80207689,51.09262476,50.1873043,51.25724357,52.43476698,54.18994987,56.24610282,58.57789264,59.73561404,64.36929207,62.41744311,61.2924696,62.32325779,67.49149532,67.58083919,72.38221955,69.68997176,73.50909716,69.75835579,74.76969728,75.30253501,76.56962161,
