code,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MLT,Malta,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,total_fuel_combustion,MtCO2eq,0.662333049,0.836443302,0.803101432,0.733864561,0.658337412,0.747972245,0.788857143,0.925165514,0.900261301,1.001363867,1.135273187,1.303698408,0.980400309,1.33818315,1.16576492,1.890846388,1.981331429,2.155966377,2.337478004,2.333229326,2.229518981,2.188076092,2.82951973,2.528816592,2.40287903,2.343625073,2.492459945,2.395670016,2.42959209,2.146302625,2.506778718,2.334072833,2.625493877,2.615896544,2.645384126,2.66980815,2.735363927,2.745612163,2.528955596,2.606880449,2.593298418,2.73657937,2.392065103,2.377573171,1.676647843,1.370839267,1.53956574,1.57220452,1.680096997,1.610029002
MLT,Malta,coal,MtCO2eq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058868432,0.127548733,0.230568587,0.470948646,0.333588442,0.446420166,0.561704261,0.743215888,0.735857185,0.596044212,0.502835829,0.735857185,0.500383061,0.127548733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MLT,Malta,oil,MtCO2eq,0.662333049,0.836443302,0.803101432,0.733864561,0.658337412,0.747972245,0.788857143,0.925165514,0.900261301,1.001363867,1.135273187,1.244829977,0.852851577,1.107614563,0.694816274,1.557257946,1.534911263,1.594262116,1.594262116,1.597372141,1.633474769,1.685240263,2.093662545,2.028433533,2.275330299,2.343625073,2.492459945,2.395670016,2.42959209,2.146302625,2.506778718,2.334072833,2.625493877,2.615896544,2.645384126,2.66980815,2.735363927,2.745612163,2.528955596,2.606480165,2.592660098,2.735583495,2.390528835,2.375424508,1.674595144,1.368829394,0.992671798,0.881820598,0.958344071,0.8596698539
MLT,Malta,gas,MtCO2eq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54459548,0.687412155,0.718494965,0.7465705221
MLT,Malta,marine_bunkers,MtCO2eq,0.189947888,0.084562384,0.07193585,0.07830993,0.07830993,0.087779753,0.094093176,0.09397186,0.109573442,0.087537432,0.065986389,0.094093176,0.047046433,0.062526375,0.062526375,0.100406288,0.094093176,0.094093176,0.094093176,0.094093176,0.125053383,0.156013267,0.094093176,0.094093176,0.140533325,0.143629379,0.162205374,0.143629379,0.149821161,2.094468386,2.310339305,2.364609057,2.918974844,3.122398829,2.112632881,2.412828789,2.703581901,2.924455625,3.620320609,4.660834427,4.292526644,3.809460317,3.789736045,3.905281398,4.942931874,5.639802555,6.871067293,7.101378198,7.27774427,0.0
MLT,Malta,int_aviation_bunkers,MtCO2eq,0.175246412,0.166022949,0.19369364,0.199842416,0.184469876,0.199842416,0.202917103,0.175246412,0.184469876,0.233661883,0.242885646,0.169097636,0.138352557,0.25210911,0.144501633,0.205991492,0.221364031,0.215214955,0.215214955,0.215214955,0.245960035,0.242885646,0.242885646,0.242885646,0.221364031,0.126054405,0.46117499,0.175246412,0.172172024,0.3689453,0.276710362,0.267481351,0.236736571,0.304381053,0.264406962,0.267481351,0.279779502,0.289002966,0.270556038,0.304375505,0.313598969,0.29822643,0.313598969,0.335120585,0.347418437,0.37201444,0.417255843,0.469387266,0.493395774,0.0
MLT,Malta,fugitive,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
