code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
KGZ,113,Kyrgyzstan,5059,Manure Management,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.8664,400.6089,369.1132,312.0534,293.6062,284.3056,294.3088,303.5669,311.2816,315.6728,320.3653,326.2928,326.1838,335.3617,347.108,360.3647,375.3772,404.8865,415.0997,425.5061,434.4974,448.5447,465.2649,470.8615,483.7946,496.2653,510.9161,525.0901,,423.7926,472.6776
KGZ,113,Kyrgyzstan,5059,Manure Management,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.8152,152.8408,135.2204,129.752,125.0368,128.7636,133.9436,138.2332,140.8148,143.0744,145.9696,143.458,147.3752,151.3512,156.688,162.6604,169.6492,177.2036,179.1468,,,,,,,,,,,,
KGZ,113,Kyrgyzstan,5060,Rice Cultivation,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4176,0.5495,0.6594,0.9891,1.1869,1.3408,1.2089,1.3408,1.3691,1.2188,1.4619,1.3408,1.3417,1.2709,1.388,1.3443,1.3628,1.3777,1.3922,1.3823,1.5738,1.7373,1.772,1.8927,2.1769,2.3527,2.4939,2.4846,,1.4079,1.3163
KGZ,113,Kyrgyzstan,5060,Rice Cultivation,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6934,15.386,18.4632,27.6948,33.2338,37.5418,33.8492,37.5418,38.3358,34.1261,40.9329,37.5418,37.5665,35.5847,38.865,37.6403,38.1573,38.5758,38.982,38.705,44.0655,48.6444,49.6168,52.9955,60.9532,65.8767,69.8278,69.5693,,39.4219,36.8567
KGZ,113,Kyrgyzstan,5060,Rice Cultivation,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6934,15.386,18.4632,27.6948,33.2338,37.5418,33.8492,37.5418,38.3358,34.1261,40.9329,37.5418,37.5665,35.5847,38.865,37.6403,38.1573,38.5758,38.982,38.705,44.0655,48.6444,49.6168,52.9955,60.9532,65.8767,69.8278,69.5693,,39.4219,36.8567
KGZ,113,Kyrgyzstan,5061,Synthetic Fertilizers,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3976,0.3457,0.3457,0.3457,0.3929,0.3929,0.4355,0.4219,0.4345,0.4305,0.1451,0.4932,0.4279,0.465,0.4218,0.4108,0.354,0.4068,0.4041,0.3527,0.4228,0.4577,0.5618,0.2009,0.2213,0.1463,0.3925,0.2534,,0.6168,0.7875
KGZ,113,Kyrgyzstan,5061,Synthetic Fertilizers,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1292,0.1124,0.1124,0.1124,0.1277,0.1277,0.1415,0.1371,0.1412,0.1399,0.0471,0.1603,0.1391,0.1511,0.1371,0.1335,0.1151,0.1322,0.1313,0.1146,0.1374,0.1487,0.1826,0.0653,0.0719,0.0476,0.1276,0.0824,,0.2005,0.2559
KGZ,113,Kyrgyzstan,5061,Synthetic Fertilizers,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5268,0.4581,0.4581,0.4581,0.5205,0.5205,0.577,0.559,0.5758,0.5704,0.1922,0.6534,0.567,0.6161,0.5589,0.5443,0.4691,0.539,0.5354,0.4674,0.5603,0.6064,0.7443,0.2662,0.2933,0.1939,0.5201,0.3358,,0.8172,1.0434
KGZ,113,Kyrgyzstan,5061,Synthetic Fertilizers,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.5973,121.3889,121.3889,121.3889,137.942,137.942,152.9169,148.1442,152.5804,151.1623,50.9392,173.1613,150.2574,163.2626,148.1055,144.2376,124.3133,142.8361,141.8816,123.8553,148.4697,160.6969,197.246,70.5492,77.7201,51.3802,137.8261,88.9755,,216.566,276.4962
KGZ,113,Kyrgyzstan,5061,Synthetic Fertilizers,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.5973,121.3889,121.3889,121.3889,137.942,137.942,152.9169,148.1442,152.5804,151.1623,50.9392,173.1613,150.2574,163.2626,148.1055,144.2376,124.3133,142.8361,141.8816,123.8553,148.4697,160.6969,197.246,70.5492,77.7201,51.3802,137.8261,88.9755,,216.566,276.4962
KGZ,113,Kyrgyzstan,5062,Manure applied to Soils,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7402,0.6839,0.6081,0.4825,0.4422,0.4215,0.4311,0.4412,0.4511,0.4559,0.4607,0.4688,0.4644,0.4777,0.4941,0.5139,0.5363,0.5799,0.5997,0.6156,0.6288,0.6522,0.6771,0.6836,0.7029,0.7188,0.7384,0.7562,,0.6011,0.6666
KGZ,113,Kyrgyzstan,5062,Manure applied to Soils,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3146,0.2906,0.2584,0.2051,0.1879,0.1791,0.1832,0.1875,0.1917,0.1938,0.1958,0.1992,0.1974,0.203,0.21,0.2184,0.2279,0.2464,0.2549,0.2616,0.2673,0.2772,0.2878,0.2905,0.2988,0.3055,0.3138,0.3214,,0.2555,0.2833
KGZ,113,Kyrgyzstan,5062,Manure applied to Soils,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0548,0.9745,0.8665,0.6876,0.6301,0.6006,0.6143,0.6287,0.6428,0.6497,0.6564,0.668,0.6618,0.6807,0.704,0.7323,0.7642,0.8263,0.8545,0.8772,0.8961,0.9294,0.9649,0.9741,1.0017,1.0243,1.0522,1.0775,,0.8566,0.95
KGZ,113,Kyrgyzstan,5062,Manure applied to Soils,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.5179,258.246,229.6222,182.2165,166.9766,159.1614,162.7853,166.6034,170.3404,172.1668,173.9549,177.0259,175.3777,180.3898,186.5703,194.0473,202.5044,218.9753,226.4469,232.4494,237.4656,246.3028,255.7004,258.1332,265.4486,271.4277,278.8244,285.5506,,226.9891,251.7422
KGZ,113,Kyrgyzstan,5062,Manure applied to Soils,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.5179,258.246,229.6222,182.2165,166.9766,159.1614,162.7853,166.6034,170.3404,172.1668,173.9549,177.0259,175.3777,180.3898,186.5703,194.0473,202.5044,218.9753,226.4469,232.4494,237.4656,246.3028,255.7004,258.1332,265.4486,271.4277,278.8244,285.5506,,226.9891,251.7422
KGZ,113,Kyrgyzstan,5063,Manure left on Pasture,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4699,2.2768,1.9955,1.5123,1.3664,1.2669,1.3247,1.3557,1.3785,1.3916,1.3998,1.4202,1.4173,1.4601,1.4959,1.5502,1.6181,1.783,1.8323,1.9046,1.941,2.0011,2.0678,2.1139,2.1522,2.1927,2.2457,2.3021,,1.7402,1.8888
