code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
ETH,238,Ethiopia,5059,Manure Management,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.7869,152.2413,151.6013,158.8295,165.9832,179.7908,177.4481,166.5243,180.2221,200.9635,195.9582,197.3782,202.7065,222.2593,246.6248,262.4425,278.6876,293.9722,287.0279,297.1478,305.7175,317.0159,321.8745,332.2419,339.9374,333.4498,337.0594,,257.0651,291.6869
ETH,238,Ethiopia,5059,Manure Management,724313,Emissions (CO2eq) from N2O (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436.0637,5178.9202,5410.6614,5929.1445,5929.1445,6020.4952,5660.6836,5902.4404,7003.6718,6806.5012,6892.6897,7247.9355,8157.7123,9413.4068,9680.9217,9953.5511,10488.5277,10255.3967,10636.138,10704.1879,,,,,,,,,
ETH,238,Ethiopia,5059,Manure Management,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243.3381,1246.6829,1246.8893,1299.3854,1350.1298,1458.7044,1434.9629,1352.9595,1458.7859,1672.8225,1628.6678,1649.0248,1729.2213,1858.3691,2062.4533,2152.3142,2229.752,2351.3273,2296.3273,2375.2438,2458.4521,2552.5835,2609.1858,2691.967,2762.2375,2810.6028,2845.3749,,2084.0211,2275.5728
ETH,238,Ethiopia,5059,Manure Management,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6613.6905,6354.2118,6633.3598,7296.0084,7296.0084,7362.0944,6936.4642,7267.977,8577.0573,8342.3217,8457.0105,8893.9466,9926.7313,11378.985,11732.1415,12072.6712,12719.8802,12435.2082,12889.0048,12983.8079,,,,,,,,,
ETH,238,Ethiopia,5060,Rice Cultivation,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756,0.6982,0.826,0.7458,0.91,0.98,1.05,1.148,1.171,1.078,1.008,0.91,0.8737,0.8989,0.0589,0.127,6.6835,4.1812,4.2909,5.8535,4.7348,6.5565,6.3636,6.7785,7.435,8.8707,8.0606,,0.836,1.0507
ETH,238,Ethiopia,5060,Rice Cultivation,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.168,19.549,23.128,20.8818,25.48,27.44,29.4,32.144,32.7869,30.184,28.224,25.48,24.4647,25.1703,1.6503,3.5554,187.1369,117.0747,120.1441,163.8991,132.5744,183.5814,178.1797,189.7986,208.1794,248.379,225.6979,,23.4091,29.4207
ETH,238,Ethiopia,5060,Rice Cultivation,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.168,19.549,23.128,20.8818,25.48,27.44,29.4,32.144,32.7869,30.184,28.224,25.48,24.4647,25.1703,1.6503,3.5554,187.1369,117.0747,120.1441,163.8991,132.5744,183.5814,178.1797,189.7986,208.1794,248.379,225.6979,,23.4091,29.4207
ETH,238,Ethiopia,5061,Synthetic Fertilizers,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4636,0.6254,0.715,1.2736,0.8506,1.1801,1.2538,1.2021,0.9928,1.5345,0.5355,1.2864,1.265,1.3299,1.666,1.7564,1.86,2.4536,2.4389,3.9111,2.7034,3.7291,3.8439,5.4617,5.9184,6.6022,5.9941,,4.0938,7.3522
ETH,238,Ethiopia,5061,Synthetic Fertilizers,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1507,0.2033,0.2324,0.4139,0.2765,0.3835,0.4075,0.3907,0.3227,0.4987,0.174,0.4181,0.4111,0.4322,0.5415,0.5708,0.6045,0.7974,0.7926,1.2711,0.8786,1.212,1.2493,1.775,1.9235,2.1457,1.9481,,1.3305,2.3895
ETH,238,Ethiopia,5061,Synthetic Fertilizers,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6142,0.8287,0.9474,1.6876,1.1271,1.5637,1.6613,1.5928,1.3155,2.0332,0.7095,1.7044,1.6762,1.7621,2.2075,2.3273,2.4645,3.2511,3.2315,5.1822,3.5821,4.941,5.0932,7.2367,7.8419,8.7479,7.9422,,5.4243,9.7417
ETH,238,Ethiopia,5061,Synthetic Fertilizers,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.7715,219.6036,251.0544,447.2023,298.683,414.3777,440.2556,422.1024,348.6069,538.7848,188.0149,451.6772,444.1897,466.9501,584.9788,616.7275,653.0945,861.5358,856.3492,1373.2941,949.2471,1309.3737,1349.6966,1917.7257,2078.1009,2318.1843,2104.6703,,1437.4472,2581.5379
ETH,238,Ethiopia,5061,Synthetic Fertilizers,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.7715,219.6036,251.0544,447.2023,298.683,414.3777,440.2556,422.1024,348.6069,538.7848,188.0149,451.6772,444.1897,466.9501,584.9788,616.7275,653.0945,861.5358,856.3492,1373.2941,949.2471,1309.3737,1349.6966,1917.7257,2078.1009,2318.1843,2104.6703,,1437.4472,2581.5379
ETH,238,Ethiopia,5062,Manure applied to Soils,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7271,0.7698,0.7357,0.7689,0.8023,0.8685,0.8606,0.8028,0.8879,0.9111,0.8963,0.9112,0.8808,1.0275,1.1606,1.357,1.528,1.6456,1.6154,1.6616,1.7241,1.7913,1.8092,1.8744,1.9052,1.6947,1.716,,1.2677,1.5444
ETH,238,Ethiopia,5062,Manure applied to Soils,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,0.3272,0.3127,0.3268,0.341,0.3691,0.3658,0.3412,0.3774,0.3872,0.3809,0.3873,0.3743,0.4367,0.4933,0.5767,0.6494,0.6994,0.6865,0.7062,0.7327,0.7613,0.7689,0.7966,0.8097,0.7202,0.7293,,0.5388,0.6564
ETH,238,Ethiopia,5062,Manure applied to Soils,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0361,1.0969,1.0484,1.0957,1.1433,1.2376,1.2264,1.1439,1.2653,1.2984,1.2773,1.2985,1.2552,1.4641,1.6538,1.9337,2.1774,2.345,2.3019,2.3678,2.4569,2.5526,2.5781,2.6711,2.715,2.4149,2.4453,,1.8064,2.2008
ETH,238,Ethiopia,5062,Manure applied to Soils,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.5788,290.6864,277.8137,290.353,302.9691,327.9587,324.9997,303.1464,335.3053,344.0645,338.4734,344.0972,332.6188,387.9981,438.2694,512.4246,577.0192,621.4368,609.9986,627.4635,651.0682,676.4353,683.2075,707.8383,719.4643,639.9472,648.003,,478.6988,583.2201
ETH,238,Ethiopia,5062,Manure applied to Soils,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.5788,290.6864,277.8137,290.353,302.9691,327.9587,324.9997,303.1464,335.3053,344.0645,338.4734,344.0972,332.6188,387.9981,438.2694,512.4246,577.0192,621.4368,609.9986,627.4635,651.0682,676.4353,683.2075,707.8383,719.4643,639.9472,648.003,,478.6988,583.2201
ETH,238,Ethiopia,5063,Manure left on Pasture,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5942,43.8561,43.9643,45.956,47.866,52.0299,51.2376,48.1223,51.7726,59.0127,57.4717,58.2507,60.8384,65.8891,73.1415,76.3064,79.5962,83.5865,81.6745,84.6294,87.5245,90.6104,92.2626,95.144,97.549,98.6117,99.7462,,73.875,80.2552
ETH,238,Ethiopia,5063,Manure left on Pasture,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5772,10.6355,10.6295,11.1034,11.532,12.5614,12.2921,11.5213,12.4108,14.2051,13.9831,14.386,15.1513,16.4755,18.3419,19.1042,19.8299,20.7772,20.3031,21.059,21.9957,22.8317,23.2421,23.9986,24.6164,24.9342,25.2571,,18.8085,20.6875
ETH,238,Ethiopia,5063,Manure left on Pasture,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1713,54.4916,54.5938,57.0594,59.3979,64.5913,63.5297,59.6436,64.1834,73.2178,71.4549,72.6367,75.9896,82.3645,91.4834,95.4107,99.4261,104.3637,101.9776,105.6883,109.5202,113.4421,115.5046,119.1426,122.1654,123.546,125.0034,,92.6834,100.9426
ETH,238,Ethiopia,5063,Manure left on Pasture,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14355.4072,14440.2734,14467.3627,15120.736,15740.4544,17116.6871,16835.3662,15805.5492,17008.6009,19402.7175,18935.5445,19248.722,20137.2515,21826.6041,24243.099,25283.8273,26347.9243,27656.3797,27024.0555,28007.4112,29022.8534,30062.1586,30608.7305,31572.7793,32373.8355,32739.6769,33125.8949,,24561.1135,26749.7961
ETH,238,Ethiopia,5063,Manure left on Pasture,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14355.4072,14440.2734,14467.3627,15120.736,15740.4544,17116.6871,16835.3662,15805.5492,17008.6009,19402.7175,18935.5445,19248.722,20137.2515,21826.6041,24243.099,25283.8273,26347.9243,27656.3797,27024.0555,28007.4112,29022.8534,30062.1586,30608.7305,31572.7793,32373.8355,32739.6769,33125.8949,,24561.1135,26749.7961
ETH,238,Ethiopia,5064,Crop Residues,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8167,0.9463,1.2008,1.5711,1.5279,1.2584,1.4333,1.3592,1.6766,1.5011,1.6223,1.703,1.9656,2.0341,2.2094,2.2941,2.646,2.8424,2.9656,3.1291,3.3195,3.5585,3.8277,3.9071,4.1201,3.9381,4.1087,,4.0822,6.0974
ETH,238,Ethiopia,5064,Crop Residues,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1838,0.2129,0.2702,0.3535,0.3438,0.2831,0.3225,0.3058,0.3772,0.3377,0.365,0.3832,0.4423,0.4577,0.4971,0.5162,0.5953,0.6395,0.6673,0.704,0.7469,0.8007,0.8612,0.8791,0.927,0.8861,0.9245,,0.9185,1.3719
ETH,238,Ethiopia,5064,Crop Residues,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0005,1.1592,1.471,1.9245,1.8716,1.5416,1.7558,1.6651,2.0539,1.8388,1.9873,2.0862,2.4078,2.4918,2.7065,2.8103,3.2413,3.4819,3.6329,3.8331,4.0664,4.3591,4.6889,4.7863,5.0472,4.8242,5.0332,,5.0007,7.4693
ETH,238,Ethiopia,5064,Crop Residues,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.1248,307.19,389.8066,510.005,495.9857,408.517,465.2749,441.2454,544.2745,487.2849,526.633,552.8324,638.077,660.3353,717.2213,744.7312,858.9439,922.7077,962.7139,1015.7698,1077.5989,1155.1657,1242.5532,1268.358,1337.4997,1278.4044,1333.7894,,1325.191,1979.3557
ETH,238,Ethiopia,5064,Crop Residues,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.1248,307.19,389.8066,510.005,495.9857,408.517,465.2749,441.2454,544.2745,487.2849,526.633,552.8324,638.077,660.3353,717.2213,744.7312,858.9439,922.7077,962.7139,1015.7698,1077.5989,1155.1657,1242.5532,1268.358,1337.4997,1278.4044,1333.7894,,1325.191,1979.3557
