Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,CAIT,Land-Use Change and Forestry ,CO2,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,-0.2462191,-0.2462191,-0.2462191,-0.2462191,-0.2462191,0.1546574,0.1546574,0.1546574
AFG,CAIT,Bunker Fuels ,CO2,0.019,0.019,0.019,0.019,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.026,0.035,0.037,0.036,0.035,0.032,0.032,0.032,0.032,0.032,0.032,0.033,0.032,0.038,0.04,0.042
AFG,CAIT,Electricity/Heat ,CO2,0.268,0.265,0.164,0.164,0.164,0.164,0.163,0.164,0.164,0.162,0.161,0.179,0.147,0.26,0.243,0.257,0.278,0.276,0.244,0.123,0.139,0.187,0.151,0.216,0.172,0.17,0.2,0.207,0.223
AFG,CAIT,Manufacturing/Construction ,CO2,0.571,0.532,0.392,0.377,0.359,0.343,0.323,0.295,0.275,0.252,0.232,0.229,0.564,0.489,0.244,0.346,0.349,0.739,1.206,1.666,2.389,4.158,3.225,3.343,3.672,2.893,2.948,3.441,3.294
AFG,CAIT,Transportation ,CO2,1.672,1.55,0.773,0.744,0.714,0.681,0.636,0.587,0.549,0.348,0.357,0.383,0.361,0.568,0.573,0.937,1.192,1.292,2.858,3.902,5.965,7.789,6.977,4.853,3.868,4.877,4.163,3.548,3.731
AFG,CAIT,Building,CO2,0.081,0.071,0.032,0.026,0.019,0.016,0.013,0.01,0.01,0.006,0.001,0,0,0.001,0.042,0.074,0.103,0.045,0.07,0.297,0.159,0.114,0.083,0.083,0.055,0.019,0.036,0.134,0.138
AFG,CAIT,Other Fuel Combustion ,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,CAIT,Fugitive Emissions ,CO2,0.32824,0.273533333,0.021932964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
AFG,CAIT,Total excluding LUCF,CH4,8.965122381,9.066114744,8.989369607,8.89249197,8.963214333,9.143046697,9.9300908,10.5983624,11.10446651,11.87004061,10.59116472,9.360221302,11.19047039,11.48418948,11.45971606,11.67327515,14.89234117,18.1016022,22.17088572,25.42616924,30.01165027,39.47985218,48.77535659,58.1302985,67.7712204,76.59345981,78.14671868,79.61275254,81.5056589
AFG,CAIT,Total including LUCF,CH4,8.965122381,9.066114744,8.989369607,8.89249197,8.963214333,9.143046697,9.9300908,10.5983624,11.10446651,11.87004061,10.59116472,9.360221302,11.19047039,11.48418948,11.45971606,11.67327515,14.89234117,18.1016022,22.17088572,25.42616924,30.01165027,39.47985218,48.77535659,58.1302985,67.7712204,76.59345981,78.14671868,79.61275254,81.5056589
AFG,CAIT,Energy ,CH4,2.508164824,2.286496478,2.064828132,1.843159786,1.62149144,1.399823094,1.343884056,1.287945018,1.23200598,1.176066942,1.120127904,1.096128927,1.072129949,1.048130971,1.024131993,1.000133015,3.998062445,6.995991875,9.993921305,12.99185073,15.98978016,25.35519921,34.72061826,44.08603731,53.45145636,62.81687541,64.51334329,66.20981117,67.90627905
AFG,CAIT,Industrial Processes ,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,CAIT,Agriculture ,CH4,5.36448,5.6067975,5.6713775,5.715825,5.9278725,6.24903,7.0390725,7.7103425,8.219445,8.9880175,7.71214,6.4216875,8.1924275,8.4266375,8.342655,8.496705,8.65166,8.79681,9.8019825,9.993155,11.514525,11.5332525,11.3792825,11.28475,11.4761975,10.8489625,10.6312375,10.3262875,10.44821
AFG,CAIT,Waste ,CH4,1.092477557,1.172820766,1.253163975,1.333507184,1.413850394,1.494193603,1.547134244,1.600074886,1.653015528,1.70595617,1.758896811,1.842404876,1.92591294,2.009421005,2.09292907,2.176437134,2.242618728,2.308800321,2.374981914,2.441163508,2.507345101,2.591400461,2.675455821,2.759511181,2.843566541,2.927621901,3.002137885,3.076653869,3.151169853
AFG,CAIT,Land-Use Change and Forestry ,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,CAIT,Other Fuel Combustion ,CH4,2.226679641,2.044373634,1.862067627,1.67976162,1.497455613,1.315149606,1.258279434,1.201409263,1.144539091,1.087668919,1.030798748,1.012948352,0.995097956,0.97724756,0.959397165,0.941546769,3.716386177,6.491225584,9.266064992,12.0409044,14.81574381,23.97965627,33.14356874,42.3074812,51.47139367,60.63530613,62.31958304,64.00385995,65.68813686
AFG,CAIT,Fugitive Emissions ,CH4,0.281485183,0.242122844,0.202760505,0.163398166,0.124035827,0.084673488,0.085604622,0.086535756,0.087466889,0.088398023,0.089329157,0.083180575,0.077031993,0.07088341,0.064734828,0.058586246,0.281676268,0.50476629,0.727856313,0.950946335,1.174036357,1.375542942,1.577049526,1.77855611,1.980062695,2.181569279,2.193760251,2.205951222,2.218142194
AFG,CAIT,Total excluding LUCF,N2O,3.246603949,3.290862903,3.202273458,3.197779613,2.986175768,3.061039322,3.290789869,3.594116615,3.883586362,4.153626508,3.623596254,3.219502916,3.701542378,3.839332239,3.811732101,3.968564163,4.061420175,4.248295188,4.7871082,5.318322213,5.993619225,6.60911302,7.158957415,7.720900609,8.545381804,8.585079999,9.120314591,9.445816784,8.960818577
AFG,CAIT,Total including LUCF,N2O,3.246603949,3.290862903,3.202273458,3.197779613,2.986175768,3.061039322,3.290789869,3.594116615,3.883586362,4.153626508,3.623596254,3.219502916,3.701542378,3.839332239,3.811732101,3.968564163,4.061420175,4.248295188,4.7871082,5.318322213,5.993619225,6.60911302,7.158957415,7.720900609,8.545381804,8.585079999,9.120314591,9.445816784,8.960818577
AFG,CAIT,Energy ,N2O,0.402091806,0.357594542,0.313097277,0.268600012,0.224102748,0.179605483,0.172884719,0.166163955,0.159443191,0.152722427,0.146001663,0.145899118,0.145796574,0.145694029,0.145591485,0.14548894,0.399358766,0.653228592,0.907098418,1.160968244,1.41483807,1.925224228,2.435610385,2.945996543,3.4563827,3.966768858,4.072567479,4.178366099,4.28416472
