code,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CAN,Canada,energy,MtCO2eq,365.9632419,385.147174,404.1578479,412.6814016,403.6353674,414.884817,427.7789133,429.4390458,446.2005754,451.6736908,431.0089614,413.9593744,407.0273456,425.7623914,427.3229337,418.6844923,430.8025114,463.0111888,478.1768967,445.5905112,441.3799413,456.0891003,453.293241,468.9251596,481.2539915,496.4185907,512.1646877,521.3139728,530.6865887,551.5669025,544.6433079,562.8769785,583.7815176,576.1648225,589.1041214,582.2669823,614.0813932,592.1564379,562.7140923,579.5013971,593.7857048,590.7747159,603.0597065,611.9096062,609.2158167,609.7448662,624.0248759,638.7596306,638.358538,587.2042962
CHL,Chile,energy,MtCO2eq,22.01233583,21.60588272,20.91812732,20.63940218,18.02155016,18.83596731,19.65238082,20.23270164,21.48207874,22.35220024,22.3128624,19.42297515,20.07334992,21.31826493,21.73752137,22.0458658,22.21612677,26.5462816,31.70073443,31.29334987,29.99840513,31.00127135,32.98890976,36.31515081,39.64994556,45.72079383,52.23552088,52.81975901,55.51907375,51.52412217,49.56540452,50.17891401,51.21383875,55.97431451,57.00605272,58.11578006,65.39294245,68.78870775,66.53627468,70.99151071,77.82029734,80.07497024,84.87389681,77.73410201,83.37844563,87.69075319,88.58204646,88.26480067,93.06059663,82.29901237
MEX,Mexico,energy,MtCO2eq,117.8383201,131.278755,143.2425508,155.5234147,163.4353779,174.6545158,182.3960895,210.7334793,217.3891388,244.3159624,269.6546751,281.7809996,268.5118148,272.9875961,281.8310412,275.617518,286.7490519,283.4511756,296.7165901,291.6855138,311.0768033,313.7905209,322.7394526,347.6336813,330.6014631,347.0752905,368.5077963,391.014914,380.0216391,404.9850447,405.1571065,412.7210148,434.5435422,444.1491703,461.2444634,477.246507,484.0148204,486.1829572,474.2514493,489.5824664,504.459965,513.1717711,503.1064898,487.7523557,493.9138401,496.1829097,490.499674,468.628267,464.9168764,428.4329385
USA,United States,energy,MtCO2eq,4580.667779,4824.712149,4987.4574,4823.446379,4630.643232,4897.84689,5066.29354,5057.471209,5103.576065,4896.775068,4829.191332,4604.824108,4564.514398,4776.756519,4799.508341,4759.770749,4924.623311,5145.028568,5210.964037,5112.265267,5073.7519,5147.103061,5255.97283,5334.972729,5387.410925,5546.454293,5817.290469,5863.62063,5876.779875,6045.061781,6017.129243,5856.222977,5921.981708,6001.853135,6020.201911,5922.678446,6014.43523,5847.115014,5448.705696,5700.678705,5498.443397,5288.804405,5435.442762,5471.147161,5355.677482,5239.701667,5177.796178,5372.731364,5246.365807,4736.515117
,OECD Americas,energy,MtCO2eq,5118.475141,5395.141951,5589.423947,5448.091735,5249.176306,5541.446856,5732.428045,5755.982906,5826.941723,5654.975009,5592.263876,5360.721155,5303.302677,5540.519571,5575.856382,5522.895087,5714.095341,5968.091708,6069.611021,5933.983775,5910.859517,6004.69286,6124.819993,6248.280895,6303.211212,6499.763219,6820.162047,6899.800831,6905.799897,7118.017327,7082.066398,6944.961683,7053.754623,7140.367686,7190.655082,7103.772055,7242.712403,7060.395822,6622.046557,6913.405482,6753.78953,6553.037204,6715.319885,6739.321154,6633.501006,6526.47896,6466.078122,6657.12048,6534.768991,5919.167024
AUS,Australia,energy,MtCO2eq,150.6111248,156.6143368,166.4902709,181.2724511,188.9373983,191.3925416,206.2486678,201.3477646,208.2148898,217.5755413,219.3717106,225.8352115,215.1955823,222.3685681,235.3984867,237.4597369,248.9793669,257.015226,271.5252375,278.1829284,280.3423022,284.773149,289.9676555,296.5629301,307.9414547,319.0445234,327.1802107,349.1383618,354.2997233,361.7086233,369.2638474,377.4905823,376.6739273,390.266234,395.3967207,401.193699,413.0444118,416.5681094,423.6749931,418.8452848,416.7838543,418.2198408,413.993915,407.71985,415.7703368,423.9439721,429.8188716,428.1128739,430.1101149,424.3953158
ISR,Israel,energy,MtCO2eq,13.90902957,14.58037048,15.80763038,15.97999777,16.5696702,16.64534916,17.55129382,18.758504,19.19244165,19.04504153,19.83811035,21.14072371,21.99700499,22.88913908,24.54549734,26.97700256,29.27524637,30.99453776,32.2579332,33.15528148,33.67475935,35.92754853,39.44258205,42.27684472,45.33240669,47.54118021,49.74987083,49.80732452,51.2274974,55.38662265,56.67503784,59.8246897,61.62022172,61.89341321,59.55686432,62.83901343,65.16272349,65.471669,64.81699891,69.51794934,68.61476201,74.72983003,65.94873333,63.60255884,65.16943018,64.33942131,65.02392203,60.68202582,62.26626573,59.33792814
JPN,Japan,energy,MtCO2eq,762.1862436,799.3877432,908.7098261,896.3793838,859.6333484,886.5971059,911.6691265,905.9909896,928.3844765,881.0361796,856.977528,830.5352698,836.5607185,897.783833,877.2479533,877.4051604,882.2521266,948.0501708,976.1594218,1063.67104,1075.835664,1085.776331,1078.864987,1131.466112,1142.09384,1155.702397,1146.274811,1108.476,1144.204714,1161.589075,1150.122551,1188.620078,1197.789129,1193.499395,1195.611008,1172.751614,1209.988387,1144.889531,1090.407992,1147.483995,1204.602544,1244.376626,1252.405735,1206.662636,1169.241471,1157.524406,1144.575902,1105.295446,1071.034139,1038.20462
,Korea,energy,MtCO2eq,55.87075629,57.80875741,71.72126553,75.34020679,81.60903845,90.38093901,102.9903685,111.9092932,125.9164693,130.4379246,136.3769037,136.1512708,144.3089207,157.140844,161.8379595,168.5804545,174.95165,198.6556914,209.3124467,237.8697738,261.2740557,280.7145134,307.3650693,331.6507885,361.553591,386.0964881,406.8919173,347.6948039,382.5575021,437.0418668,451.2047648,441.1286236,443.082973,465.3624018,463.4479088,470.668557,483.6113987,495.1501788,508.5155011,557.915717,581.0109587,582.9610692,582.3003277,570.2250975,589.6952099,596.8564354,608.148679,614.0018733,593.6958507,578.6001969
NZL,New Zealand,energy,MtCO2eq,13.95037651,15.99679764,17.24272436,17.99318836,17.06478824,18.92413,19.58111642,19.08331833,17.07885759,17.18929091,17.00181014,18.79356737,18.97433533,19.48518947,20.03951591,19.09331316,20.33355575,21.71560096,21.92042104,23.200391,23.61197072,25.35632834,24.95652494,25.116411,25.18364305,26.37973473,28.77563883,28.22519265,29.64649014,30.51049989,32.73063577,32.64897632,34.47787178,33.90792116,35.19205969,35.29184056,34.26415609,35.21092232,32.24299589,32.22505683,31.41431305,33.20630106,32.93262385,32.96064189,33.27892551,32.24434908,34.02807828,33.45942847,35.12700491,34.76005776
