code,name,unit,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CAN,Canada,MtCO2,260.3284936282468,271.69513455453546,285.54306489553164,308.2821736427874,320.4558016641852,344.9115655412089,351.5879037528839,367.9821519255739,393.7246878275155,400.1831261641571,400.86167875068253,415.4204208133746,438.8311758105005,427.23232045846726,433.8595654781361,442.98406004176775,423.64343650106764,409.9583794439203,391.1380397077377,412.7980756974143,408.5533850928108,398.30798882807176,411.96292846172344,442.75786625321757,462.3445089133336,449.77291566203655,433.03171646014255,447.218415470212,443.17133398548896,457.8397688671062,476.42612066535554,485.3059384871806,498.43496288055667,514.5596351416539,518.0745268427105,537.9695609467979,540.0703373779401,553.1629293158206,562.0374031714033,559.2452268835219,560.3058399047287,553.0954254751176,578.4888815165376,564.6091849971189,536.0982560496938,550.1171388054192,554.6845017586166,551.1367513703541,564.5819488686404,571.8094314612177,570.1551252691987,553.2504215579603,565.9127597789205,576.2109891125824,577.9971632420021,517.6567233999792
MEX,Mexico,MtCO2,62.13332884407853,65.05567306097338,66.6474981202422,72.17091106329883,79.1067158563126,84.1721796488406,89.46165038726053,99.66788001717669,107.67402467599426,120.85930368650455,141.6664572567389,149.1907699987143,154.56356359861118,179.67597722571242,187.63399189726766,206.82746564634655,224.9254463870876,234.33381287800722,226.66837219430593,232.71233767869336,239.9205798989347,234.23245335975034,244.1466245722163,243.79287595839727,256.31364050815307,269.85373337608945,279.2241006674342,282.1735700149584,286.8244116702533,310.39355529111884,299.20783556835016,315.45460688639906,334.3019928240613,352.6663102372895,343.4337920311459,363.0035568864156,359.41822798147666,376.9888663668262,378.0318537829416,393.55003517941907,420.2903635746028,432.8529996785865,440.72657131776384,459.3692497559491,453.8461955009633,454.82200213592387,472.97314304859987,476.71006280932795,483.18513844917186,471.1801268812996,475.2252834990645,480.44363619279557,486.0759487193246,477.1185390810961,459.7585152455868,373.2159143524887
USA,US,MtCO2,3451.891855126458,3639.795004354559,3738.1613189062896,3947.3434587959287,4117.396246838984,4271.528131641036,4309.068601012936,4525.830780431109,4739.462447076081,4567.579913263272,4394.26322334951,4654.9272524323915,4798.957148810769,4842.2454115605315,4930.456576754285,4749.3451135367095,4601.680051440753,4376.272973255015,4337.413666917128,4564.867042843616,4581.303534478851,4603.640025103405,4756.765115978592,4977.05406017123,5065.993854475491,4978.860531278702,4932.089642280497,5014.294257675497,5124.071078574171,5208.109237308997,5243.725473067582,5422.308886956003,5497.302133009746,5537.194325807641,5580.264109678096,5745.7649154446735,5656.08343370305,5677.86064945711,5743.105705881824,5844.257778718122,5879.808926415361,5802.4501136100835,5892.213431692296,5710.156257370964,5298.440628564145,5494.978583338968,5348.439350539315,5101.537959482154,5268.307567207415,5277.560073459796,5165.570149619762,5060.806233145836,5003.1789418919325,5166.0317764025185,5029.389362805993,4457.219799872629
,Total North America,MtCO2,3774.353677598783,3976.5458119700675,4090.3518819220635,4327.796543502015,4516.958764359481,4700.611876831086,4750.11815515308,4993.480812373859,5240.861159579591,5088.622343113934,4936.791359356932,5219.53844324448,5392.3518882198805,5449.153709244711,5551.950134129688,5399.156639224824,5250.248934328909,5020.5651655769425,4955.220078819171,5210.377456219724,5229.777499470597,5236.180467291227,5412.874669012532,5663.604802382845,5784.652003896978,5698.487180316828,5644.345459408073,5743.686243160667,5854.0668242299125,5976.3425614672215,6019.3594293012875,6223.069432329584,6330.039088714365,6404.420271186584,6441.7724285519525,6646.738033277887,6555.5719990624675,6608.012445139758,6683.1749628361695,6797.053040781063,6860.405129894693,6788.398538763788,6911.428884526596,6734.134692124033,6288.385080114802,6499.917724280311,6376.096995346531,6129.384773661835,6316.074654525227,6320.549631802313,6210.950558388025,6094.500290896593,6055.167650390178,6219.3613045961965,6067.145041293583,5348.092437625097
ARG,Argentina,MtCO2,82.17511955381872,84.5268077745292,86.85252533157725,89.3242434041894,92.18356390517461,85.89549342701626,90.8046290841004,91.59077825526747,94.93613998407606,97.13421099171055,97.9203749465627,103.00631902348903,107.962047148394,105.47122782903736,113.34999213778462,108.71211882307486,103.1231974769931,103.57361735633157,106.15283628730018,104.96503252924884,101.76425473047672,105.53690381989534,109.34346351704218,115.75241801915638,112.49936498153332,105.45222313328897,107.47925582645718,113.41111251022434,112.20343060818924,118.41157402857289,123.25639007025768,130.4685366485414,128.83109393648104,134.41364745491774,138.20227443947402,132.60994158566035,121.9509391195809,117.67317531110918,127.57887325123828,138.82157487527576,146.61146225590872,152.53827168575583,166.20345772179087,167.71739605074765,159.95882730789864,168.80707414909824,174.76350038111102,183.74881736785417,189.4301780593443,189.54443436773744,192.76715454955783,191.45078453926627,189.6853758968157,187.46068525521855,175.81791291742704,164.13306225102215
BRA,Brazil,MtCO2,51.52221130364139,56.16622972033154,58.01140180758516,68.1465499147056,74.25741433356737,83.88015471796848,92.17066158694169,103.54554592301999,123.61192935981585,133.361699479767,139.95070105866162,150.28346357771287,156.81429734605982,169.59332399656532,177.16774015482932,176.63563355385787,168.5414227799808,169.42892422984266,165.40418663586962,172.883345328348,179.9948767215071,194.13505658887686,199.50982282582194,202.92818505350283,206.80185446098008,198.63688386720898,207.90310236124577,218.1113840693249,229.23665723415832,239.35524038169876,253.78187284619517,273.18909108420786,287.0005693377842,298.3409578077894,301.87837706913325,306.3776485742268,316.06152917262625,315.3183673886618,311.4427614186807,325.7599076082414,334.84459212224795,339.06329547540645,353.63981732351596,377.3244738740616,357.23651605564766,403.0942795375665,427.2075990744254,445.69293512560364,485.8385162970182,507.9605655044437,490.6822718562979,454.0807435574317,460.6357686984433,445.5296948795581,444.9063787969711,417.51062863047724
CHL,Chile,MtCO2,16.70436529452813,17.92339065555647,18.252534745405185,18.728528732725863,19.850407062612337,20.933188283161858,22.3880568706,22.373272153599995,21.603397893300002,20.712262739200003,17.959126213599998,18.916770531700003,19.552914064800003,20.7866032416,21.542211931199997,22.092953377000004,22.5319362315,19.2147644407,19.4043039019,20.623244638899997,21.1707721726,21.504931725899997,22.086183548999998,25.9974684531,31.090111720000003,32.0812170306033,32.949755735887976,33.59008373279582,35.790786895119005,39.033750989819104,42.47784261263976,47.84636671028124,55.134311023925726,56.554414037934045,58.537865664079426,56.53009655278287,53.9649590926375,55.48472218499764,55.485198024073604,60.434685354879875,61.671687792204615,65.53506525695641,76.84087448487693,77.79562811453731,74.64766583524069,76.13292861102346,87.04382969736996,89.417316868763,91.1875104492076,88.49211541442936,89.02013211240346,94.19089502251464,92.46904950403027,93.10732531354384,94.66720723098592,87.72729319873662
COL,Colombia,MtCO2,21.308531378001824,23.052586739215304,24.36844865194753,25.214097786168868,25.32042093876108,27.66261055444976,26.202925415429604,29.3497804270136,28.5913596490808,32.3046523902424,34.04832337504428,35.23433529374694,35.99398833670138,37.023254785073156,38.62834099602719,38.5100883762714,39.62066475846138,41.014491518779764,43.89866468587882,43.99775647294389,45.20825232185259,44.63687928962844,49.01528908748097,46.997709726806015,49.291917909195185,42.373198780745696,44.96961305305249,53.07140604245391,55.68589247146931,58.722033026966834,59.66776202236647,58.444910632134054,63.695224932403534,64.45290580702337,56.155995537740964,55.90518063614857,53.890304418041396,51.52626303818149,53.32400360828389,52.763372109578974,51.57271716508146,61.46501377001162,60.06876276834836,67.52505704275644,67.95690857494473,73.43392315638854,70.45269476751223,79.01588610599664,82.28067561903083,87.28175120647563,88.31713374648831,92.70699721040279,86.68194017854773,88.59754159487136,94.92282006621967,92.68886413420971
ECU,Ecuador,MtCO2,2.0685126201,2.1505593794,2.3124342583,2.7633608443,2.9319866589,3.480899898,3.8028869143000006,3.8394284029000003,4.3208075135,4.8103891715,5.3655661213,6.1321864901,7.412012770199999,7.541785258800001,7.9992930923999985,9.843638942499998,10.681999033099999,11.555309339099999,10.713115980300001,11.3886365869,13.8070180534,14.2362661094,13.8317834774,16.810496803099998,16.9335709699,17.730724187299998,19.756352999799997,19.817490370699993,19.835420242199998,21.254574906,21.5625916409,24.1530854735,27.276167439599995,27.237786014100003,24.017724835799996,21.840433769,22.4487680773,21.855168870407027,22.008817090279504,24.62588607524646,26.756981882757135,28.228954081129867,28.310714678632024,28.98483349428164,29.010487195783924,33.091840423751506,33.795347525961255,35.168484782466365,38.05543783684954,40.409993025167225,39.63865690357616,37.733927278026314,36.42838336914216,38.83761918696977,37.495882325049564,30.694497232619916
PER,Peru,MtCO2,12.529141818775502,15.395373486722583,15.488571208512441,15.669609125870384,15.653769266916528,16.413504507560106,16.423961628000004,14.2262462206,16.6410773965,19.624896218099998,21.2315386989,21.7288336071,21.6335574274,21.087162928599998,22.545685421099993,23.999732915699997,24.1748429735,24.1739828526,21.175293273599998,22.0739935311,21.4348451115,21.815443946099997,23.2438045352,22.8267535398,20.435914556300002,20.146489598400002,19.2181474363,19.835201155400004,20.438775880000005,22.0752341245,24.7351808993,25.936077738199998,26.5487284635,25.744740552099998,26.2527543507,26.3809112861,24.7402816076,25.467621491793825,24.67229111963203,27.924066806736725,29.056506964158224,27.80466705637295,31.506687053824212,34.87180642430653,35.17079283255419,40.836083640176824,45.3819436639492,46.38393875827235,47.325491188242935,48.39693462701468,50.80384512152741,55.31539777959636,54.21707866064985,56.91075896360316,56.701638979257616,44.55651761584167
