year,month,decimal,average,average_unc,trend,trend_unc,date
1983,7,1983.5420000000001,1625.9,2.3,1635.4,1.5,1983-07-01
1983,8,1983.625,1628.1,2.9,1635.9,1.4,1983-08-01
1983,9,1983.7079999999999,1638.4,2.3,1636.4,1.3,1983-09-01
1983,10,1983.7920000000001,1644.8,1.4,1636.9,1.2,1983-10-01
1983,11,1983.875,1642.6,0.8,1637.5,1.2,1983-11-01
1983,12,1983.9579999999999,1639.5,1.0,1638.2,1.1,1983-12-01
1984,1,1984.0420000000001,1638.7,1.9,1639.0,1.0,1984-01-01
1984,2,1984.125,1638.8,2.1,1639.9,0.9,1984-02-01
1984,3,1984.2079999999999,1640.7,1.5,1640.8,0.8,1984-03-01
1984,4,1984.2920000000001,1643.7,1.9,1641.8,0.7,1984-04-01
1984,5,1984.375,1642.9,1.1,1642.9,0.7,1984-05-01
1984,6,1984.4579999999999,1639.6,0.8,1644.1,0.7,1984-06-01
1984,7,1984.5420000000001,1637.8,1.0,1645.2,0.6,1984-07-01
1984,8,1984.625,1641.4,1.4,1646.4,0.6,1984-08-01
1984,9,1984.7079999999999,1650.4,1.1,1647.6,0.6,1984-09-01
1984,10,1984.7920000000001,1654.5,1.4,1648.7,0.6,1984-10-01
1984,11,1984.875,1653.7,1.0,1649.9,0.6,1984-11-01
1984,12,1984.9579999999999,1656.1,1.2,1651.0,0.6,1984-12-01
1985,1,1985.0420000000001,1655.6,1.2,1652.1,0.6,1985-01-01
1985,2,1985.125,1652.3,1.5,1653.1,0.6,1985-02-01
1985,3,1985.2079999999999,1654.6,1.0,1654.1,0.5,1985-03-01
1985,4,1985.2920000000001,1658.2,0.9,1655.2,0.5,1985-04-01
1985,5,1985.375,1655.9,1.1,1656.2,0.5,1985-05-01
1985,6,1985.4579999999999,1650.0,1.1,1657.2,0.5,1985-06-01
1985,7,1985.5420000000001,1646.7,1.1,1658.2,0.5,1985-07-01
1985,8,1985.625,1652.2,1.2,1659.2,0.5,1985-08-01
1985,9,1985.7079999999999,1662.5,1.2,1660.2,0.5,1985-09-01
1985,10,1985.7920000000001,1667.5,1.1,1661.2,0.6,1985-10-01
1985,11,1985.875,1666.8,1.1,1662.2,0.6,1985-11-01
1985,12,1985.9579999999999,1666.0,1.0,1663.3,0.6,1985-12-01
1986,1,1986.0420000000001,1666.2,1.2,1664.3,0.7,1986-01-01
1986,2,1986.125,1666.9,2.0,1665.3,0.7,1986-02-01
1986,3,1986.2079999999999,1669.2,1.5,1666.4,0.7,1986-03-01
1986,4,1986.2920000000001,1670.8,1.5,1667.4,0.8,1986-04-01
1986,5,1986.375,1668.5,0.9,1668.5,0.8,1986-05-01
1986,6,1986.4579999999999,1664.8,1.3,1669.6,0.8,1986-06-01
1986,7,1986.5420000000001,1662.3,1.2,1670.7,0.8,1986-07-01
1986,8,1986.625,1664.4,1.6,1671.8,0.8,1986-08-01
1986,9,1986.7079999999999,1672.6,1.5,1672.9,0.8,1986-09-01
1986,10,1986.7920000000001,1678.7,1.5,1674.0,0.8,1986-10-01
1986,11,1986.875,1679.0,1.7,1675.1,0.8,1986-11-01
1986,12,1986.9579999999999,1679.1,1.2,1676.2,0.8,1986-12-01
1987,1,1987.0420000000001,1679.3,1.2,1677.3,0.8,1987-01-01
1987,2,1987.125,1679.0,1.1,1678.3,0.8,1987-02-01
1987,3,1987.2079999999999,1680.1,0.9,1679.3,0.7,1987-03-01
1987,4,1987.2920000000001,1681.4,1.0,1680.4,0.7,1987-04-01
1987,5,1987.375,1681.9,1.0,1681.4,0.6,1987-05-01
1987,6,1987.4579999999999,1680.0,0.9,1682.4,0.6,1987-06-01
1987,7,1987.5420000000001,1676.0,0.8,1683.3,0.5,1987-07-01
1987,8,1987.625,1677.2,0.9,1684.3,0.5,1987-08-01
